ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_NAME_LABEL,VTH_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
21841828,9160,Tracker Halfmoon TC Parameters,2046377,7500,PS-s Halfmoon W,26289,34252_015_PSS_HM_WW,4.227,PQC3,VDP_EDGE,Rotated,Right,VdP-pPlus,PQC_HM_POSITION 2,0.2,,,,20.0,20.022,Test_HPK_VPX34252_015_PSS_HM_WW_West_North_PQC3_VdP-pPlus_VDPEdge_r_Run01_08_25_2020_07_26_09_PM.txt,Brown
21886106,9160,Tracker Halfmoon TC Parameters,2048165,7480,PS-s Halfmoon E,26290,34252_016_PSS_HM_EE,4.264,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.033,Test_HPK_VPX34252_016_PSS_HM_EE_East_South_PQC1_VdP-strip_VDPStrip_s_Run01_08_26_2020_11_18_00_AM.txt,Brown
21841836,9160,Tracker Halfmoon TC Parameters,2046797,7480,PS-s Halfmoon E,26290,34252_016_PSS_HM_EE,4.298,PQC1,VDP_STRIP,Standard,Right,VdP-strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.033,Test_HPK_VPX34252_016_PSS_HM_EE_East_South_PQC1_VdP-strip_VDPStrip_s_Run01_08_26_2020_11_18_00_AM.txt,Brown
21936163,9160,Tracker Halfmoon TC Parameters,2049728,7500,PS-s Halfmoon W,26295,34252_016_PSS_HM_WW,4.141,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.029,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_26_2020_01_35_24_PM.txt,Brown
21886115,9160,Tracker Halfmoon TC Parameters,2048894,7500,PS-s Halfmoon W,26295,34252_016_PSS_HM_WW,4.329,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.029,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_26_2020_01_35_24_PM.txt,Brown
21841838,9160,Tracker Halfmoon TC Parameters,2047061,7480,PS-s Halfmoon E,26308,34252_019_PSS_HM_EE,4.298,PQC2,LINEWIDTH_STOP,Not Used,Right,Linewidth-pstop,PQC_HM_POSITION 1,0.5,,,,20.0,20.099,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC2_Linewidth-pstop_LinewidthStop_Run01_08_19_2020_04_24_46_PM.txt,Brown
21841834,9160,Tracker Halfmoon TC Parameters,2046725,7480,PS-s Halfmoon E,26308,34252_019_PSS_HM_EE,4.243,PQC2,LINEWIDTH_STOP,Not Used,Right,Linewidth-pstop,PQC_HM_POSITION 1,0.5,,,,20.0,20.099,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC2_Linewidth-pstop_LinewidthStop_Run01_08_19_2020_04_24_46_PM.txt,Brown
21936174,9160,Tracker Halfmoon TC Parameters,2050532,7500,PS-s Halfmoon W,26313,34252_019_PSS_HM_WW,4.342,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 2,0.4,,,,20.0,20.073,Test_HPK_VPX34252_019_PSS_HM_WW_West_South_PQC4_ContactChain-PolySi_CCPoly_IV_Run01_08_20_2020_06_14_56_PM.txt,Brown
21886104,9160,Tracker Halfmoon TC Parameters,2047784,7500,PS-s Halfmoon W,26313,34252_019_PSS_HM_WW,4.163,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 2,0.4,,,,20.0,20.073,Test_HPK_VPX34252_019_PSS_HM_WW_West_South_PQC4_ContactChain-PolySi_CCPoly_IV_Run01_08_20_2020_06_14_56_PM.txt,Brown
21841820,9160,Tracker Halfmoon TC Parameters,2045645,7480,PS-s Halfmoon E,26314,34252_020_PSS_HM_EE,4.331,PQC4,CBKR_POLY,Rotated,Right,CBKR-polySi,PQC_HM_POSITION 3,0.2,,,,20.0,20.074,Test_HPK_VPX34252_020_PSS_HM_EE_East_South_PQC4_CBKR-polySi_CBKRPoly_r_Run01_08_20_2020_01_01_56_PM.txt,Brown
21841837,9160,Tracker Halfmoon TC Parameters,2046803,7480,PS-s Halfmoon E,26314,34252_020_PSS_HM_EE,4.315,PQC4,CBKR_POLY,Rotated,Right,CBKR-polySi,PQC_HM_POSITION 3,0.2,,,,20.0,20.074,Test_HPK_VPX34252_020_PSS_HM_EE_East_South_PQC4_CBKR-polySi_CBKRPoly_r_Run01_08_20_2020_01_01_56_PM.txt,Brown
21841821,9160,Tracker Halfmoon TC Parameters,2045792,7500,PS-s Halfmoon W,26319,34252_020_PSS_HM_WW,4.352,PQC2,DIEL_SW,Not Used,Left,DielBreakdown_alt,PQC_HM_POSITION 4,1.0,,,,20.0,20.031,Test_HPK_VPX34252_020_PSS_HM_WW_West_South_PQC2_DielBreakdown_alt_DielSW_IV_Run01_08_21_2020_07_57_41_PM.txt,Brown
21886101,9160,Tracker Halfmoon TC Parameters,2047481,7500,PS-s Halfmoon W,26319,34252_020_PSS_HM_WW,4.255,PQC2,DIEL_SW,Not Used,Left,DielBreakdown_alt,PQC_HM_POSITION 4,1.0,,,,20.0,20.031,Test_HPK_VPX34252_020_PSS_HM_WW_West_South_PQC2_DielBreakdown_alt_DielSW_IV_Run01_08_21_2020_07_57_41_PM.txt,Brown
20676269,9160,Tracker Halfmoon TC Parameters,1903601,7480,PS-s Halfmoon E,30340,34254_001_PSS_HM_EE,4.051,PQC4,CBKR_STRIP,Rotated,Right,CBKR-strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.006,Test_HPK_VPX34254_001_PSS_HM_EE_East_South_PQC4_CBKR-strip_CBKRStrip_r_Run01_10_19_2020_01_38_27_PM.txt,Brown
20732135,9160,Tracker Halfmoon TC Parameters,1906823,7500,PS-s Halfmoon W,30345,34254_001_PSS_HM_WW,4.083,PQC4,CBKR_POLY,Rotated,Right,CBKR-polySi,PQC_HM_POSITION 2,0.2,,,,20.0,20.016,Test_HPK_VPX34254_001_PSS_HM_WW_West_North_PQC4_CBKR-polySi_CBKRPoly_r_Run01_10_19_2020_02_52_11_PM.txt,Brown
20732127,9160,Tracker Halfmoon TC Parameters,1906103,7480,PS-s Halfmoon E,30346,34254_002_PSS_HM_EE,4.034,PQC2,GCD,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,,,,20.0,20.063,Test_HPK_VPX34254_002_PSS_HM_EE_East_South_PQC2_GCD_GCD_IV_Run01_10_19_2020_03_43_25_PM.txt,Brown
20732123,9160,Tracker Halfmoon TC Parameters,1905425,7500,PS-s Halfmoon W,30351,34254_002_PSS_HM_WW,4.045,PQC2,LINEWIDTH_STOP,Not Used,Right,Linewidth-pstop_2,PQC_HM_POSITION 4,0.5,,,,20.0,20.012,Test_HPK_VPX34254_002_PSS_HM_WW_West_North_PQC2_Linewidth-pstop_2_LinewidthStop_Run01_10_19_2020_04_49_13_PM.txt,Brown
20641691,9160,Tracker Halfmoon TC Parameters,1902218,7480,PS-s Halfmoon E,30352,34254_003_PSS_HM_EE,4.024,PQC1,VDP_STOP,Rotated,Right,VdP-pstop,PQC_HM_POSITION 1,0.5,,,,20.0,20.17,Test_HPK_VPX34254_003_PSS_HM_EE_East_South_PQC1_VdP-pstop_VDPStop_r_Run01_10_20_2020_05_56_46_PM.txt,Brown
20676278,9160,Tracker Halfmoon TC Parameters,1904822,7500,PS-s Halfmoon W,30357,34254_003_PSS_HM_WW,4.04,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 2,0.5,,,,20.0,20.011,Test_HPK_VPX34254_003_PSS_HM_WW_West_North_PQC1_MOS1_MOSQuarter_CV_Run01_10_20_2020_07_38_26_PM.txt,Brown
20676275,9160,Tracker Halfmoon TC Parameters,1904345,7480,PS-s Halfmoon E,30358,34254_004_PSS_HM_EE,4.006,PQC4,CBKR_STRIP,Standard,Right,CBKR-strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.081,Test_HPK_VPX34254_004_PSS_HM_EE_East_South_PQC4_CBKR-strip_CBKRStrip_s_Run01_10_20_2020_09_25_31_PM.txt,Brown
20641689,9160,Tracker Halfmoon TC Parameters,1902020,7500,PS-s Halfmoon W,30363,34254_004_PSS_HM_WW,4.076,PQC4,CBKR_POLY,Standard,Right,CBKR-polySi,PQC_HM_POSITION 4,0.2,,,,20.0,20.025,Test_HPK_VPX34254_004_PSS_HM_WW_West_North_PQC4_CBKR-polySi_CBKRPoly_s_Run01_10_20_2020_10_38_58_PM.txt,Brown
