batch_number,Type,NOX,Location,KIND_OF_HM_SET_ID
35495,PSP,146724495460.837,Perugia,Right
35495,PSP,150952218146.282,Perugia,Left
35495,PSP,149849118072.543,Perugia,Left
35495,PSP,148442237266.364,Perugia,Left
35495,PSP,116811650053.442,Perugia,Left
35495,PSP,134567747252.117,Perugia,Left
35495,PSP,116434795007.533,Perugia,Left
35495,PSP,136950097404.685,Perugia,Left
35495,PSP,142723970532.598,Perugia,Left
35495,PSP,113639176646.643,Perugia,Left
35495,PSP,142314840779.895,Perugia,Left
35495,PSP,114476560344.879,Perugia,Right
35496,PSP,176500100000.0,HEPHY,Right
35496,PSP,195595000000.0,HEPHY,Right
35496,PSP,200061000000.0,HEPHY,Right
35496,PSP,176525200000.0,HEPHY,Right
35496,PSP,197411000000.0,HEPHY,Left
35496,PSP,179798200000.0,HEPHY,Left
35496,PSP,197163700000.0,HEPHY,Right
35496,PSP,174555300000.0,HEPHY,Right
35496,PSP,182415600000.0,HEPHY,Right
35496,PSP,195603600000.0,HEPHY,Right
35496,PSP,177481800000.0,HEPHY,Left
35496,PSP,196229400000.0,HEPHY,Left
35496,PSP,193161600000.0,HEPHY,Right
35496,PSP,182090600000.0,HEPHY,Right
35496,PSP,178980800000.0,HEPHY,Left
35496,PSP,195954100000.0,HEPHY,Left
35496,PSP,166595500000.0,HEPHY,Right
35496,PSP,189013800000.0,HEPHY,Right
35496,PSP,163755100000.0,HEPHY,Left
35496,PSP,191430200000.0,HEPHY,Left
35496,PSP,166583200000.0,HEPHY,Right
35496,PSP,188136000000.0,HEPHY,Right
35496,PSP,163667400000.0,HEPHY,Right
35496,PSP,190161700000.0,HEPHY,Right
35496,PSP,189708800000.0,HEPHY,Right
35496,PSP,170720600000.0,HEPHY,Right
35496,PSP,192048800000.0,HEPHY,Right
35496,PSP,167268200000.0,HEPHY,Right
35496,PSP,174969900000.0,HEPHY,Right
35496,PSP,192198600000.0,HEPHY,Right
35496,PSP,195765700000.0,HEPHY,Right
35496,PSP,171896700000.0,HEPHY,Right
35499,PSP,188676000000.0,HEPHY,Right
35499,PSP,173864200000.0,HEPHY,Right
35499,PSP,190898300000.0,HEPHY,Right
35499,PSP,168559300000.0,HEPHY,Right
35499,PSP,190167600000.0,HEPHY,Right
35499,PSP,174560600000.0,HEPHY,Right
35499,PSP,190560000000.0,HEPHY,Left
35499,PSP,167846600000.0,HEPHY,Left
35499,PSP,191160300000.0,HEPHY,Left
35499,PSP,177285300000.0,HEPHY,Left
35499,PSP,193982200000.0,HEPHY,Left
35499,PSP,170939700000.0,HEPHY,Left
35499,PSP,193929400000.0,HEPHY,Left
35499,PSP,184132700000.0,HEPHY,Left
35499,PSP,196965700000.0,HEPHY,Right
35499,PSP,178379400000.0,HEPHY,Right
35499,PSP,192229300000.0,HEPHY,Right
35499,PSP,183785500000.0,HEPHY,Right
35499,PSP,179736700000.0,HEPHY,Left
35499,PSP,196086900000.0,HEPHY,Left
35499,PSP,172248400000.0,HEPHY,Right
35499,PSP,192889400000.0,HEPHY,Right
35499,PSP,165981000000.0,HEPHY,Right
35499,PSP,194377600000.0,HEPHY,Right
35499,PSP,172922200000.0,HEPHY,Right
35499,PSP,191422100000.0,HEPHY,Right
35499,PSP,193151700000.0,HEPHY,Right
35499,PSP,166204100000.0,HEPHY,Right
35499,PSP,178045300000.0,HEPHY,Right
35499,PSP,192932100000.0,HEPHY,Right
35499,PSP,168295300000.0,HEPHY,Left
35499,PSP,194631000000.0,HEPHY,Left
35499,PSP,174301000000.0,HEPHY,Right
35499,PSP,189838700000.0,HEPHY,Right
35499,PSP,167652200000.0,HEPHY,Right
35499,PSP,191705400000.0,HEPHY,Right
35499,PSP,175079300000.0,HEPHY,Right
35499,PSP,190584400000.0,HEPHY,Right
35499,PSP,191945100000.0,HEPHY,Right
35499,PSP,168776000000.0,HEPHY,Right
35500,PSP,149765100000.0,Brown,Right
35500,PSP,164876700000.0,Brown,Right
35500,PSP,147393800000.0,Brown,Right
35500,PSP,166140600000.0,Brown,Right
35500,PSP,152876800000.0,Brown,Right
35500,PSP,166758300000.0,Brown,Right
35500,PSP,153968700000.0,Brown,Right
35500,PSP,165472500000.0,Brown,Right
35500,PSP,152397000000.0,Brown,Right
35500,PSP,162415900000.0,Brown,Right
35500,PSP,136388300000.0,Brown,Right
35500,PSP,163844100000.0,Brown,Right
35500,PSP,140042800000.0,Brown,Right
35500,PSP,161540600000.0,Brown,Right
35500,PSP,139191400000.0,Brown,Right
35500,PSP,162625300000.0,Brown,Right
35500,PSP,142269200000.0,Brown,Right
35500,PSP,161272900000.0,Brown,Right
35500,PSP,139116600000.0,Brown,Right
35500,PSP,160445700000.0,Brown,Right
35501,PSP,119141300000.0,Brown,Right
35501,PSP,148157500000.0,Brown,Right
35501,PSP,119469600000.0,Brown,Right
35501,PSP,148163200000.0,Brown,Right
35501,PSP,125388300000.0,Brown,Right
35501,PSP,153637300000.0,Brown,Right
35501,PSP,127091800000.0,Brown,Right
35501,PSP,155031700000.0,Brown,Right
35501,PSP,129067600000.0,Brown,Right
35501,PSP,155835600000.0,Brown,Right
35501,PSP,116073200000.0,Brown,Right
35501,PSP,143544400000.0,Brown,Right
35501,PSP,117305300000.0,Brown,Right
35501,PSP,144859600000.0,Brown,Right
35501,PSP,117183300000.0,Brown,Right
35501,PSP,152197500000.0,Brown,Right
35501,PSP,118225000000.0,Brown,Right
35501,PSP,151288100000.0,Brown,Right
35501,PSP,120621000000.0,Brown,Right
35501,PSP,150301700000.0,Brown,Right
35713,PSS,77636273355.349,Perugia,Left
35713,PSS,76567701878.871,Perugia,Left
35713,PSS,76755011718.046,Perugia,Left
35713,PSS,78100928362.262,Perugia,Left
35713,PSS,78261098574.951,Perugia,Left
35713,PSS,80140789178.631,Perugia,Left
35713,PSS,80057325078.373,Perugia,Left
35713,PSS,75561176316.396,Perugia,Left
35713,PSS,76814423650.624,Perugia,Left
35713,PSS,75075895110.68,Perugia,Left
35713,PSS,70474353545.659,Perugia,Left
35713,PSS,70118269370.786,Perugia,Left
35713,PSS,71619279814.51,Perugia,Left
35713,PSS,71173027811.144,Perugia,Left
35713,PSS,71321580852.49,Perugia,Left
35714,PSS,60848110340.861,Perugia,Left
35714,PSS,62614310900.21,Perugia,Left
35714,PSS,59529681327.221,Perugia,Left
35714,PSS,62478337111.061,Perugia,Left
35714,PSS,57523103286.927,Perugia,Left
35714,PSS,61055739456.741,Perugia,Left
35714,PSS,61325797743.506,Perugia,Left
35714,PSS,63106016636.407,Perugia,Left
35714,PSS,56518200185.589,Perugia,Left
35714,PSS,60466017937.286,Perugia,Left
35714,PSS,56247173456.111,Perugia,Left
35714,PSS,60606531834.306,Perugia,Left
35714,PSS,56709524142.835,Perugia,Left
35714,PSS,60742514558.562,Perugia,Left
35714,PSS,59942156313.982,Perugia,Left
35714,PSS,62335385459.9,Perugia,Left
35714,PSS,58131491440.639,Perugia,Left
35714,PSS,62597474473.986,Perugia,Left
35717,2-S,74245180000.0,Brown,Right
35717,2-S,74245180000.0,Brown,Right
35717,2-S,77847730000.0,Brown,Right
35717,2-S,77847730000.0,Brown,Right
35717,2-S,75384160000.0,Brown,Right
35717,2-S,75384160000.0,Brown,Right
35717,2-S,77540960000.0,Brown,Right
35717,2-S,77540960000.0,Brown,Right
35717,2-S,77118990000.0,Brown,Right
35717,2-S,77118990000.0,Brown,Right
35717,2-S,79267720000.0,Brown,Right
35717,2-S,79267720000.0,Brown,Right
35717,2-S,76491140000.0,Brown,Right
35717,2-S,76491140000.0,Brown,Right
35717,2-S,79745040000.0,Brown,Right
35717,2-S,79745040000.0,Brown,Right
35717,2-S,76554810000.0,Brown,Right
35717,2-S,79553880000.0,Brown,Right
35717,2-S,73520040000.0,Brown,Right
35717,2-S,75658400000.0,Brown,Right
35717,2-S,73261690000.0,Brown,Right
35717,2-S,76208210000.0,Brown,Right
35717,2-S,72168190000.0,Brown,Right
35717,2-S,75467320000.0,Brown,Right
35717,2-S,74865990000.0,Brown,Right
35717,2-S,77010870000.0,Brown,Right
35717,2-S,75308400000.0,Brown,Right
35717,2-S,78391250000.0,Brown,Right
35718,2-S,75465710000.0,Brown,Right
35718,2-S,77320550000.0,Brown,Right
35718,2-S,75563980000.0,Brown,Right
35718,2-S,78755210000.0,Brown,Right
35718,2-S,77610550000.0,Brown,Right
35718,2-S,78925890000.0,Brown,Right
35718,2-S,77895200000.0,Brown,Right
35718,2-S,79661990000.0,Brown,Right
35718,2-S,72225620000.0,Brown,Right
35718,2-S,73756230000.0,Brown,Right
35718,2-S,70066770000.0,Brown,Right
35718,2-S,74198310000.0,Brown,Right
35718,2-S,71796850000.0,Brown,Right
35718,2-S,74523960000.0,Brown,Right
35718,2-S,74863910000.0,Brown,Right
35718,2-S,77039850000.0,Brown,Right
35719,2-S,66914418249.047,Perugia,Left
35719,2-S,66523626594.694,Perugia,Left
35719,2-S,66971219119.391,Perugia,Left
35719,2-S,66922690887.787,Perugia,Left
35719,2-S,66598051096.066,Perugia,Left
35719,2-S,65447858387.31,Perugia,Left
35719,2-S,69271767135.621,Perugia,Left
35719,2-S,68492156992.93,Perugia,Left
35719,2-S,68309731518.373,Perugia,Left
35719,2-S,64257465811.957,Perugia,Left
35719,2-S,64724158169.874,Perugia,Left
35719,2-S,63889689740.177,Perugia,Left
35719,2-S,64546057745.407,Perugia,Left
35719,2-S,64632756489.938,Perugia,Left
35719,2-S,64821381481.789,Perugia,Left
35719,2-S,65521384137.564,Perugia,Left
35722,2-S,74086020000.0,Brown,Right
35722,2-S,76778450000.0,Brown,Right
35722,2-S,72829740000.0,Brown,Right
35722,2-S,76295850000.0,Brown,Right
35722,2-S,71407390000.0,Brown,Right
35722,2-S,74613440000.0,Brown,Right
35722,2-S,70238540000.0,Brown,Right
35722,2-S,73757560000.0,Brown,Right
35722,2-S,67552200000.0,Brown,Right
35722,2-S,72943950000.0,Brown,Right
35722,2-S,68614630000.0,Brown,Right
35722,2-S,72423510000.0,Brown,Right
35722,2-S,65729420000.0,Brown,Right
35722,2-S,70795660000.0,Brown,Right
35722,2-S,67433770000.0,Brown,Right
35722,2-S,70721710000.0,Brown,Right
35952,2-S,80221560000.0,Brown,Right
