batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
38884,2S,WW,Demokritos,Left,21.1,21.1,7.136
39478,PSS,EE,Perugia,Left,20.0,20.0,5.124
39478,PSS,WW,Perugia,Left,20.0,20.0,5.166
39478,PSS,EE,Perugia,Left,20.0,20.0,5.279
39478,PSS,WW,Perugia,Left,20.0,20.0,5.278
39478,PSS,EE,Perugia,Left,20.0,20.0,5.473
39478,PSS,WW,Perugia,Left,20.0,20.0,5.488
39478,PSS,EE,Perugia,Left,20.0,20.0,4.916
39478,PSS,WW,Perugia,Left,20.0,20.0,4.881
39484,2S,EE,Demokritos,Left,22.6,22.6,7.908
39484,2S,WW,Demokritos,Left,23.2,23.2,7.884
39484,2S,EE,Demokritos,Left,23.6,23.6,7.861
39484,2S,WW,Demokritos,Left,24.7,24.7,8.455
39484,2S,EE,Demokritos,Left,25.0,25.0,9.372
39484,2S,WW,Demokritos,Left,25.3,25.3,9.568
39485,2S,EE,Perugia,Left,20.0,20.0,6.249
39485,2S,WW,Perugia,Left,20.0,20.0,6.015
39485,2S,EE,Perugia,Left,20.0,20.0,6.689
39485,2S,WW,Perugia,Left,20.0,20.0,6.386
39485,2S,EE,Perugia,Left,20.0,20.0,5.931
39485,2S,WW,Perugia,Left,20.0,20.0,5.798
39487,2S,EE,Demokritos,Left,24.7,24.7,11.174
39487,2S,WW,Demokritos,Left,22.1,22.1,8.891
39487,2S,EE,Demokritos,Left,23.9,23.9,9.449
39487,2S,WW,Demokritos,Left,24.3,24.3,9.568
39487,2S,EE,Demokritos,Left,21.3,21.3,8.216
39487,2S,WW,Demokritos,Left,22.2,22.2,8.358
39488,2S,EE,Perugia,Left,20.0,20.0,6.402
39488,2S,WW,Perugia,Left,20.0,20.0,6.228
39488,2S,EE,Perugia,Left,20.0,20.0,6.469
39488,2S,WW,Perugia,Left,20.0,20.0,6.437
39488,2S,EE,Perugia,Left,20.0,20.0,5.973
39488,2S,WW,Perugia,Left,20.0,20.0,5.863
39564,2S,EE,Brown,Right,20.0,20.01,4.959
39564,2S,WW,Brown,Right,20.0,20.006,5.259
