batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,EE,26012,34330_039_2-S_HM_EE,,,2.446,8.502,238.58,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_E_flute3_R_DiodeCV_9_9_2020_10h4m0s.txt,Perugia
34330,2S,EE,26012,34330_039_2-S_HM_EE,,,2.416,8.496,241.543,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_E_flute3_L_DiodeCV_9_9_2020_12h35m46s.txt,Perugia
34330,2S,EE,26012,34330_039_2-S_HM_EE,,,2.446,8.502,238.58,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_E_flute3_R_DiodeCV_9_9_2020_10h4m0s.txt,Perugia
34330,2S,WW,26015,34330_039_2-S_HM_WW,,,2.552,8.789,228.671,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_W_flute3_L_DiodeCV_8_9_2020_17h31m26s.txt,Perugia
34330,2S,WW,26015,34330_039_2-S_HM_WW,,,2.552,8.789,228.671,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_039_2-S_HM_W_flute3_L_DiodeCV_8_9_2020_17h31m26s.txt,Perugia
34330,2S,EE,26016,34330_041_2-S_HM_EE,,,2.402,8.352,242.951,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_E_flute3_R_DiodeCV_8_9_2020_12h24m15s.txt,Perugia
34330,2S,EE,26016,34330_041_2-S_HM_EE,,,2.467,8.471,236.549,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_E_flute3_L_DiodeCV_8_9_2020_12h42m24s.txt,Perugia
34330,2S,EE,26016,34330_041_2-S_HM_EE,,,2.467,8.471,236.549,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_E_flute3_L_DiodeCV_8_9_2020_12h42m24s.txt,Perugia
34330,2S,EE,26016,34330_041_2-S_HM_EE,,,2.402,8.352,242.951,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_E_flute3_R_DiodeCV_8_9_2020_12h24m15s.txt,Perugia
34330,2S,WW,26019,34330_041_2-S_HM_WW,,,2.501,8.358,233.334,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_L_DiodeCV_8_9_2020_15h35m13s.txt,Perugia
34330,2S,WW,26019,34330_041_2-S_HM_WW,,,2.601,9.326,224.363,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_R_DiodeCV_8_9_2020_17h7m22s.txt,Perugia
34330,2S,WW,26019,34330_041_2-S_HM_WW,,,2.596,8.761,224.795,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_R_DiodeCV_8_9_2020_15h12m23s.txt,Perugia
34330,2S,WW,26019,34330_041_2-S_HM_WW,,,2.596,8.761,224.795,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_R_DiodeCV_8_9_2020_15h12m23s.txt,Perugia
34330,2S,WW,26019,34330_041_2-S_HM_WW,,,2.601,9.326,224.363,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_R_DiodeCV_8_9_2020_17h7m22s.txt,Perugia
34330,2S,WW,26019,34330_041_2-S_HM_WW,,,2.501,8.358,233.334,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_041_2-S_HM_W_flute3_L_DiodeCV_8_9_2020_15h35m13s.txt,Perugia
34330,2S,EE,26020,34330_042_2-S_HM_EE,,,2.133,9.626,273.59,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_E_flute3_R_DiodeCV_8_9_2020_10h18m54s.txt,Perugia
34330,2S,EE,26020,34330_042_2-S_HM_EE,,,2.162,9.599,269.92,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_E_flute3_L_DiodeCV_8_9_2020_10h37m53s.txt,Perugia
34330,2S,EE,26020,34330_042_2-S_HM_EE,,,2.162,9.599,269.92,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_E_flute3_L_DiodeCV_8_9_2020_10h37m53s.txt,Perugia
34330,2S,EE,26020,34330_042_2-S_HM_EE,,,2.133,9.626,273.59,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_E_flute3_R_DiodeCV_8_9_2020_10h18m54s.txt,Perugia
34330,2S,WW,26023,34330_042_2-S_HM_WW,,,2.381,9.966,245.093,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_W_flute3_R_DiodeCV_7_9_2020_16h54m44s.txt,Perugia
34330,2S,WW,26023,34330_042_2-S_HM_WW,,,2.243,9.985,260.173,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_W_flute3_L_DiodeCV_7_9_2020_17h15m38s.txt,Perugia
34330,2S,WW,26023,34330_042_2-S_HM_WW,,,2.243,9.985,260.173,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_W_flute3_L_DiodeCV_7_9_2020_17h15m38s.txt,Perugia
34330,2S,WW,26023,34330_042_2-S_HM_WW,,,2.381,9.966,245.093,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_W_flute3_R_DiodeCV_7_9_2020_16h54m44s.txt,Perugia
34330,2S,EE,26024,34330_043_2-S_HM_EE,,,2.259,9.947,258.33,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_E_flute3_L_DiodeCV_7_9_2020_11h59m46s.txt,Perugia
34330,2S,EE,26024,34330_043_2-S_HM_EE,,,2.209,10.015,264.177,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_E_flute3_R_DiodeCV_7_9_2020_10h51m27s.txt,Perugia
34330,2S,EE,26024,34330_043_2-S_HM_EE,,,2.209,10.015,264.177,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_E_flute3_R_DiodeCV_7_9_2020_10h51m27s.txt,Perugia
34330,2S,EE,26024,34330_043_2-S_HM_EE,,,2.259,9.947,258.33,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_E_flute3_L_DiodeCV_7_9_2020_11h59m46s.txt,Perugia
34330,2S,WW,26027,34330_043_2-S_HM_WW,,,2.435,10.057,239.658,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_W_flute3_R_DiodeCV_7_9_2020_13h56m58s.txt,Perugia
34330,2S,WW,26027,34330_043_2-S_HM_WW,,,2.246,10.173,259.825,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_W_flute3_L_DiodeCV_7_9_2020_14h29m14s.txt,Perugia
34330,2S,WW,26027,34330_043_2-S_HM_WW,,,2.435,10.057,239.658,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_W_flute3_R_DiodeCV_7_9_2020_13h56m58s.txt,Perugia
34330,2S,WW,26027,34330_043_2-S_HM_WW,,,2.246,10.173,259.825,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_W_flute3_L_DiodeCV_7_9_2020_14h29m14s.txt,Perugia
34330,2S,EE,26028,34330_044_2-S_HM_EE,,,2.251,9.925,259.248,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_044_2-S_HM_E_flute3_R_DiodeCV_19_8_2020_10h16m4s.txt,Perugia
