batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,WW,831761,26023,34330_042_2-S_HM_WW,,,2.381,9.966,245.093,,34330_042_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_W_flute3_R_DiodeCV_7_9_2020_16h54m44s.txt,Perugia
34330,2S,WW,833339,26023,34330_042_2-S_HM_WW,,,2.243,9.985,260.173,,34330_042_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_042_2-S_HM_W_flute3_L_DiodeCV_7_9_2020_17h15m38s.txt,Perugia
34330,2S,EE,831644,26024,34330_043_2-S_HM_EE,,,2.259,9.947,258.33,,34330_043_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_E_flute3_L_DiodeCV_7_9_2020_11h59m46s.txt,Perugia
34330,2S,EE,832778,26024,34330_043_2-S_HM_EE,,,2.209,10.015,264.177,,34330_043_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_E_flute3_R_DiodeCV_7_9_2020_10h51m27s.txt,Perugia
34330,2S,WW,831452,26027,34330_043_2-S_HM_WW,,,2.435,10.057,239.658,,34330_043_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_W_flute3_R_DiodeCV_7_9_2020_13h56m58s.txt,Perugia
34330,2S,WW,832991,26027,34330_043_2-S_HM_WW,,,2.246,10.173,259.825,,34330_043_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_043_2-S_HM_W_flute3_L_DiodeCV_7_9_2020_14h29m14s.txt,Perugia
34330,2S,EE,830993,26028,34330_044_2-S_HM_EE,,,2.251,9.925,259.248,,34330_044_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_044_2-S_HM_E_flute3_R_DiodeCV_19_8_2020_10h16m4s.txt,Perugia
34330,2S,EE,831908,26028,34330_044_2-S_HM_EE,,,2.283,9.697,255.614,,34330_044_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_044_2-S_HM_E_flute3_L_DiodeCV_19_8_2020_10h35m44s.txt,Perugia
34330,2S,WW,832115,26031,34330_044_2-S_HM_WW,,,2.49,10.209,234.364,,34330_044_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_044_2-S_HM_W_flute3_L_DiodeCV_19_8_2020_12h27m31s.txt,Perugia
34330,2S,WW,832493,26031,34330_044_2-S_HM_WW,,,2.615,10.756,223.161,,34330_044_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_044_2-S_HM_W_flute3_R_DiodeCV_19_8_2020_12h4m42s.txt,Perugia
