batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,NA
34254,PSS,EE,Brown,Right,20.0,20.004,2.948
34254,PSS,WW,Brown,Right,20.0,20.006,2.784
34254,PSS,EE,Brown,Right,20.0,20.033,2.789
34254,PSS,WW,Brown,Right,20.0,20.004,2.788
34254,PSS,EE,Brown,Right,20.0,20.003,3.412
34254,PSS,WW,Brown,Right,20.0,20.017,2.7
34254,PSS,WW,Brown,Right,20.0,20.004,2.35
34340,PSS,WW,Brown,Right,20.0,20.036,2.937
34340,PSS,EE,Brown,Right,20.0,20.085,2.759
34340,PSS,WW,Brown,Right,20.0,20.032,2.457
34340,PSS,EE,Brown,Right,20.0,20.01,2.678
34340,PSS,WW,Brown,Right,20.0,20.033,2.515
34340,PSS,EE,Brown,Right,20.0,20.1,2.806
34340,PSS,WW,Brown,Right,20.0,20.051,2.556
34354,2S,EE,Perugia,Left,20.0,20.0,8.246
34354,2S,WW,Perugia,Left,20.0,20.0,8.09
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,WW,Perugia,Left,20.0,20.0,8.659
34352,2S,EE,Perugia,Left,20.0,20.0,8.625
34352,2S,WW,Perugia,Left,20.0,20.0,8.118
34352,2S,EE,Perugia,Left,20.0,20.0,8.599
34352,2S,WW,Perugia,Left,20.0,20.0,8.207
34352,2S,EE,Perugia,Left,20.0,20.0,8.697
34352,2S,WW,Perugia,Left,20.0,20.0,8.362
34352,2S,EE,Perugia,Left,20.0,20.0,9.215
34352,2S,WW,Perugia,Left,20.0,20.0,8.459
34353,2S,EE,Brown,Right,20.0,20.011,2.941
34353,2S,WW,Brown,Right,20.0,20.059,3.219
34353,2S,EE,Brown,Right,20.0,20.104,2.958
34353,2S,WW,Brown,Right,20.0,20.056,3.804
34353,2S,WW,Brown,Right,20.0,20.087,3.691
34353,2S,EE,Brown,Right,20.0,20.093,3.19
34353,2S,WW,Brown,Right,20.0,20.051,3.329
34353,2S,WW,Brown,Right,20.0,20.075,3.113
34353,2S,EE,Brown,Right,20.0,20.04,3.2
34353,2S,WW,Brown,Right,20.0,20.058,3.781
34353,2S,EE,Brown,Right,20.0,20.088,2.868
34353,2S,WW,Brown,Right,20.0,20.06,6.836
34353,2S,EE,Brown,Right,20.0,20.004,3.071
34353,2S,WW,Brown,Right,20.0,20.057,2.936
34353,2S,EE,Brown,Right,20.0,20.103,2.897
34353,2S,WW,Brown,Right,20.0,20.055,3.608
34353,2S,EE,Brown,Right,20.0,20.003,3.004
34353,2S,WW,Brown,Right,20.0,20.008,3.144
34353,2S,EE,Brown,Right,20.0,20.028,2.627
34353,2S,WW,Brown,Right,20.0,20.006,3.195
34353,2S,EE,Brown,Right,20.0,20.003,2.955
34353,2S,WW,Brown,Right,20.0,20.015,4.641
34353,2S,EE,Brown,Right,20.0,20.031,3.425
34353,2S,WW,Brown,Right,20.0,20.005,3.545
34353,2S,EE,Brown,Right,20.0,20.003,2.756
34353,2S,WW,Brown,Right,20.0,20.006,3.364
34353,2S,EE,Brown,Right,20.0,20.021,3.024
34353,2S,WW,Brown,Right,20.0,20.008,4.146
34357,2S,EE,Perugia,Left,20.0,20.0,7.935
34357,2S,WW,Perugia,Left,20.0,20.0,7.632
34357,2S,EE,Perugia,Left,20.0,20.0,7.892
34357,2S,WW,Perugia,Left,20.0,20.0,7.549
34357,2S,EE,Perugia,Left,20.0,20.0,7.763
34357,2S,WW,Perugia,Left,20.0,20.0,7.52
34357,2S,EE,Perugia,Left,20.0,20.0,7.96
34357,2S,WW,Perugia,Left,20.0,20.0,7.53
34357,2S,EE,Perugia,Left,20.0,20.0,7.994
34357,2S,WW,Perugia,Left,20.0,20.0,7.567
34357,2S,EE,Perugia,Left,20.0,20.0,8.154
34357,2S,WW,Perugia,Left,20.0,20.0,7.64
34357,2S,EE,Perugia,Left,20.0,20.0,8.243
34357,2S,WW,Perugia,Left,20.0,20.0,7.767
34357,2S,EE,Perugia,Left,20.0,20.0,8.139
34357,2S,WW,Perugia,Left,20.0,20.0,7.788
34357,2S,EE,Perugia,Left,20.0,20.0,8.109
34357,2S,WW,Perugia,Left,20.0,20.0,7.849
34357,2S,EE,Perugia,Left,20.0,20.0,8.02
34357,2S,WW,Perugia,Left,20.0,20.0,7.948
34357,2S,EE,Perugia,Left,20.0,20.0,7.723
34357,2S,EE,Perugia,Left,20.0,20.0,7.636
34357,2S,EE,Perugia,Left,20.0,20.0,7.782
34354,2S,EE,Perugia,Left,20.0,20.0,8.582
34354,2S,EE,Perugia,Left,20.0,20.0,8.497
34354,2S,WW,Perugia,Left,20.0,20.0,8.115
34354,2S,EE,Perugia,Left,20.0,20.0,8.556
34354,2S,WW,Perugia,Left,20.0,20.0,8.989
34354,2S,EE,Perugia,Left,20.0,20.0,8.569
34354,2S,WW,Perugia,Left,20.0,20.0,8.531
34354,2S,EE,Perugia,Left,20.0,20.0,9.007
34354,2S,EE,Perugia,Left,20.0,20.0,8.146
34354,2S,EE,Perugia,Left,20.0,20.0,7.778
34354,2S,EE,Perugia,Left,20.0,20.0,7.878
34354,2S,EE,Perugia,Left,20.0,20.0,7.891
34354,2S,WW,Perugia,Left,20.0,20.0,7.757
34354,2S,EE,Perugia,Left,20.0,20.0,7.966
34354,2S,WW,Perugia,Left,20.0,20.0,7.964
34354,2S,EE,Perugia,Left,20.0,20.0,8.022
34354,2S,WW,Perugia,Left,20.0,20.0,8.057
34354,2S,EE,Perugia,Left,20.0,20.0,8.08
34354,2S,WW,Perugia,Left,20.0,20.0,7.933
34354,2S,EE,Perugia,Left,20.0,20.0,8.275
34354,2S,WW,Perugia,Left,20.0,20.0,8.343
34354,2S,EE,Perugia,Left,20.0,20.0,8.096
34354,2S,WW,Perugia,Left,20.0,20.0,8.055
34354,2S,EE,Perugia,Left,20.0,20.0,8.211
34354,2S,WW,Perugia,Left,20.0,20.0,8.216
34354,2S,EE,Perugia,Left,20.0,20.0,8.228
34354,2S,WW,Perugia,Left,20.0,20.0,8.13
34354,2S,EE,Perugia,Left,20.0,20.0,8.359
34354,2S,WW,Perugia,Left,20.0,20.0,8.166
34354,2S,EE,Perugia,Left,20.0,20.0,8.361
34354,2S,WW,Perugia,Left,20.0,20.0,8.129
