batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RHO_KOHMCM
34346,2S,WW,Perugia,Left,20.0,20.0,3.557
34346,2S,EE,Perugia,Right,20.0,20.0,3.359
34346,2S,EE,Perugia,Left,20.0,20.0,3.137
34346,2S,WW,Perugia,Left,20.0,20.0,3.529
34346,2S,WW,Perugia,Right,20.0,20.0,3.068
34346,2S,EE,Perugia,Right,20.0,20.0,3.276
34346,2S,EE,Perugia,Left,20.0,20.0,2.914
34346,2S,WW,Perugia,Left,20.0,20.0,3.544
34346,2S,WW,Perugia,Right,20.0,20.0,3.091
34346,2S,EE,Perugia,Right,20.0,20.0,3.528
34346,2S,EE,Perugia,Left,20.0,20.0,3.585
34346,2S,WW,Perugia,Left,20.0,20.0,3.544
34346,2S,EE,Perugia,Right,20.0,20.0,3.248
34346,2S,EE,Perugia,Left,20.0,20.0,3.194
34346,2S,WW,Perugia,Right,20.0,20.0,2.787
34346,2S,WW,Perugia,Left,20.0,20.0,3.538
34346,2S,EE,Perugia,Left,20.0,20.0,2.662
34346,2S,EE,Perugia,Right,20.0,20.0,2.993
34346,2S,WW,Perugia,Left,20.0,20.0,3.491
34346,2S,WW,Perugia,Right,20.0,20.0,2.959
34346,2S,EE,Perugia,Left,20.0,20.0,3.485
34346,2S,WW,Perugia,Left,20.0,20.0,3.478
34346,2S,WW,Perugia,Right,20.0,20.0,3.526
34346,2S,EE,Perugia,Right,20.0,20.0,3.205
34346,2S,EE,Perugia,Left,20.0,20.0,3.545
34346,2S,EE,Perugia,Right,20.0,20.0,3.344
34346,2S,WW,Perugia,Left,20.0,20.0,3.468
34346,2S,EE,Perugia,Right,20.0,20.0,3.171
34346,2S,EE,Perugia,Left,20.0,20.0,3.308
34346,2S,WW,Perugia,Left,20.0,20.0,3.453
34346,2S,WW,Perugia,Right,20.0,20.0,3.079
34346,2S,EE,Perugia,Right,20.0,20.0,2.439
34346,2S,EE,Perugia,Left,20.0,20.0,3.357
34346,2S,WW,Perugia,Left,20.0,20.0,3.43
34346,2S,WW,Perugia,Right,20.0,20.0,3.539
34348,2S,EE,Perugia,Left,20.0,20.0,3.41
34348,2S,WW,Perugia,Left,20.0,20.0,2.567
34348,2S,EE,Perugia,Left,20.0,20.0,3.489
34348,2S,WW,Perugia,Left,20.0,20.0,3.485
34348,2S,EE,Perugia,Left,20.0,20.0,3.493
34348,2S,WW,Perugia,Left,20.0,20.0,3.148
34348,2S,EE,Perugia,Left,20.0,20.0,3.343
34348,2S,WW,Perugia,Left,20.0,20.0,3.329
34348,2S,EE,Perugia,Left,20.0,20.0,3.48
34348,2S,WW,Perugia,Left,20.0,20.0,2.926
