batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VI600_NAMPRMM3
35501,PSP,EE,Brown,Right,20.0,20.011,0.08623324
35501,PSP,WW,Brown,Right,20.0,20.068,0.0384636
35501,PSP,EE,Brown,Right,20.0,20.037,0.07702497
35501,PSP,WW,Brown,Right,20.0,20.096,0.0315026
35501,PSP,EE,Brown,Right,20.0,20.101,0.07026298
35501,PSP,WW,Brown,Right,20.0,20.124,0.02951471
35501,PSP,EE,Brown,Right,20.0,20.108,0.06659382
35501,PSP,WW,Brown,Right,20.0,20.111,0.0321266
35501,PSP,EE,Brown,Right,20.0,20.019,0.03832535
35501,PSP,WW,Brown,Right,20.0,20.072,0.03089726
35501,PSP,EE,Brown,Right,20.0,20.021,0.09243688
35501,PSP,WW,Brown,Right,20.0,20.072,0.04112097
35501,PSP,EE,Brown,Right,20.0,20.036,0.122
35501,PSP,WW,Brown,Right,20.0,20.116,0.03033095
35501,PSP,EE,Brown,Right,20.0,20.09,0.129
35501,PSP,WW,Brown,Right,20.0,20.098,0.03287036
35501,PSP,EE,Brown,Right,20.0,20.017,0.09179487
35501,PSP,WW,Brown,Right,20.0,20.067,0.03454885
35501,PSP,EE,Brown,Right,20.0,20.08,0.111
35501,PSP,WW,Brown,Right,20.0,20.099,0.03047561
36696,PSS,EE,Brown,Right,20.0,20.002,0.19
36696,PSS,WW,Brown,Right,20.0,20.007,0.306
36696,PSS,EE,Brown,Right,20.0,20.015,0.202
36696,PSS,WW,Brown,Right,20.0,20.03,0.299
36696,PSS,EE,Brown,Right,20.0,20.017,0.331
36696,PSS,WW,Brown,Right,20.0,20.008,0.383
36696,PSS,EE,Brown,Right,20.0,20.066,0.203
36696,PSS,WW,Brown,Right,20.0,20.023,0.324
36696,PSS,EE,Brown,Right,20.0,20.003,0.295
36696,PSS,WW,Brown,Right,20.0,20.007,0.383
36696,PSS,EE,Brown,Right,20.0,20.006,0.269
36696,PSS,WW,Brown,Right,20.0,20.008,0.365
36696,PSS,EE,Brown,Right,20.0,20.028,0.262
