batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,I600_PAMPR
35722,2S,WW,Brown,Right,20.0,20.015,0.371164
35722,2S,EE,Brown,Right,20.0,20.039,0.38816100000000003
35722,2S,WW,Brown,Right,20.0,20.006,0.34907499999999997
35952,2S,EE,Brown,Right,20.0,20.005,0.312376
35952,2S,WW,Brown,Right,20.0,20.017,0.194101
35952,2S,EE,Brown,Right,20.0,20.011,0.276717
35952,2S,WW,Brown,Right,20.0,20.021,0.229374
35717,2S,EE,Brown,Right,20.0,20.011,0.27740800000000004
35717,2S,WW,Brown,Right,20.0,20.04,0.355385
35717,2S,EE,Brown,Right,20.0,20.013,0.354454
35717,2S,WW,Brown,Right,20.0,20.041,0.270739
35717,2S,EE,Brown,Right,20.0,20.092,0.30721
35717,2S,WW,Brown,Right,20.0,20.063,0.291007
35717,2S,EE,Brown,Right,20.0,20.09,0.276775
35717,2S,WW,Brown,Right,20.0,20.045,0.296423
35717,2S,EE,Brown,Right,20.0,20.01,0.223368
35717,2S,WW,Brown,Right,20.0,20.043,0.234388
35717,2S,EE,Brown,Right,20.0,20.05,0.227226
35717,2S,WW,Brown,Right,20.0,20.064,0.30844099999999997
35717,2S,EE,Brown,Right,20.0,20.095,0.314474
35717,2S,WW,Brown,Right,20.0,20.067,0.310865
35717,2S,EE,Brown,Right,20.0,20.111,0.28278
35717,2S,WW,Brown,Right,20.0,20.061,0.414808
35717,2S,EE,Brown,Right,20.0,20.046,0.27570100000000003
35717,2S,WW,Brown,Right,20.0,20.055,0.26570800000000006
35717,2S,EE,Brown,Right,20.0,20.096,0.185971
35717,2S,WW,Brown,Right,20.0,20.058,0.14519800000000002
35718,2S,EE,Brown,Right,20.0,20.053,0.27868400000000004
35718,2S,WW,Brown,Right,20.0,20.07,0.299572
35718,2S,EE,Brown,Right,20.0,20.003,0.293408
35718,2S,WW,Brown,Right,20.0,20.009,0.33208
35718,2S,EE,Brown,Right,20.0,20.118,0.261127
35718,2S,WW,Brown,Right,20.0,20.08,0.340144
35718,2S,EE,Brown,Right,20.0,20.044,0.27203
35718,2S,WW,Brown,Right,20.0,20.009,0.326675
35718,2S,EE,Brown,Right,20.0,20.024,0.26349
35718,2S,WW,Brown,Right,20.0,20.062,0.324258
35718,2S,EE,Brown,Right,20.0,20.007,0.314816
35718,2S,WW,Brown,Right,20.0,20.053,0.33133100000000004
35718,2S,EE,Brown,Right,20.0,20.112,0.284534
35718,2S,WW,Brown,Right,20.0,20.072,0.344306
35718,2S,EE,Brown,Right,20.0,20.101,0.338322
35718,2S,WW,Brown,Right,20.0,20.057,0.375457
35952,2S,EE,Brown,Right,20.0,20.07,0.30107799999999996
35952,2S,WW,Brown,Right,20.0,20.043,0.222274
35952,2S,EE,Brown,Right,20.0,20.073,0.26636200000000004
35952,2S,WW,Brown,Right,20.0,20.029,0.214763
35952,2S,EE,Brown,Right,20.0,20.004,0.240207
35952,2S,WW,Brown,Right,20.0,20.015,0.231795
35952,2S,EE,Brown,Right,20.0,20.006,0.244385
35952,2S,WW,Brown,Right,20.0,20.027,0.226688
35952,2S,EE,Brown,Right,20.0,20.066,0.285722
35952,2S,WW,Brown,Right,20.0,20.038,0.224061
35952,2S,EE,Brown,Right,20.0,20.076,0.290678
35952,2S,WW,Brown,Right,20.0,20.026,0.25288700000000003
35952,2S,EE,Brown,Right,20.0,20.003,0.288522
35952,2S,WW,Brown,Right,20.0,20.008,0.229242
35952,2S,EE,Brown,Right,20.0,20.043,0.276601
35952,2S,WW,Brown,Right,20.0,20.014,0.233579
35963,2S,EE,Brown,Right,20.0,20.004,0.33196600000000004
35963,2S,WW,Brown,Right,20.0,20.005,0.37993
35963,2S,EE,Brown,Right,20.0,20.015,0.134726
35963,2S,EE,Brown,Right,20.0,20.014,0.317842
35963,2S,WW,Brown,Right,20.0,20.005,0.384859
35963,2S,EE,Brown,Right,20.0,20.031,0.323321
35963,2S,WW,Brown,Right,20.0,20.012,0.369519
35963,2S,EE,Brown,Right,20.0,20.003,0.332123
35963,2S,WW,Brown,Right,20.0,20.005,0.41244400000000003
35963,2S,EE,Brown,Right,20.0,20.005,0.423939
35963,2S,WW,Brown,Right,20.0,20.006,0.446767
35963,2S,EE,Brown,Right,20.0,20.023,0.346548
35963,2S,WW,Brown,Right,20.0,20.009,0.379697
35963,2S,EE,Brown,Right,20.0,20.017,0.411134
35963,2S,WW,Brown,Right,20.0,20.004,0.414587
35963,2S,EE,Brown,Right,20.0,20.004,0.387172
35963,2S,WW,Brown,Right,20.0,20.007,0.389087
36238,2S,EE,Brown,Right,20.0,20.003,0.40083300000000005
36238,2S,WW,Brown,Right,20.0,20.004,0.404901
36238,2S,EE,Brown,Right,20.0,20.005,0.372548
36238,2S,WW,Brown,Right,20.0,20.004,0.553832
36238,2S,EE,Brown,Right,20.0,20.014,0.517726
36238,2S,WW,Brown,Right,20.0,20.006,0.56738
36238,2S,EE,Brown,Right,20.0,20.017,0.425082
36238,2S,WW,Brown,Right,20.0,20.004,0.6543880000000001
36238,2S,EE,Brown,Right,20.0,20.003,0.353118
36238,2S,WW,Brown,Right,20.0,20.005,0.548762
