batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34353,2S,WW,Brown,Right,20.0,20.102,2308.821
34353,2S,WW,Brown,Right,20.0,20.1,2308.034
34353,2S,EE,Brown,Right,20.0,20.069,2265.799
34353,2S,EE,Brown,Right,20.0,20.066,2254.822
34353,2S,WW,Brown,Right,20.0,20.027,2325.507
34353,2S,WW,Brown,Right,20.0,20.028,2314.279
34353,2S,EE,Brown,Right,20.0,20.053,2259.607
34353,2S,EE,Brown,Right,20.0,20.054,2270.65
34353,2S,WW,Brown,Right,20.0,20.099,2304.329
34353,2S,WW,Brown,Right,20.0,20.099,2309.684
34353,2S,EE,Brown,Right,20.0,20.077,2302.208
34353,2S,EE,Brown,Right,20.0,20.079,2305.832
34353,2S,WW,Brown,Right,20.0,20.074,2352.006
34353,2S,WW,Brown,Right,20.0,20.075,2361.951
34353,2S,EE,Brown,Right,20.0,20.035,2305.345
34353,2S,EE,Brown,Right,20.0,20.036,2316.003
34353,2S,WW,Brown,Right,20.0,20.093,2349.263
34353,2S,WW,Brown,Right,20.0,20.09,2357.429
34353,2S,EE,Brown,Right,20.0,20.071,2310.663
34353,2S,EE,Brown,Right,20.0,20.071,2318.584
34353,2S,WW,Brown,Right,20.0,20.018,2356.494
34353,2S,WW,Brown,Right,20.0,20.017,2358.488
34353,2S,EE,Brown,Right,20.0,20.04,2308.249
34353,2S,EE,Brown,Right,20.0,20.039,2306.354
34353,2S,WW,Brown,Right,20.0,20.087,2359.253
34353,2S,WW,Brown,Right,20.0,20.084,2352.486
34353,2S,EE,Brown,Right,20.0,20.02,2302.695
34353,2S,EE,Brown,Right,20.0,20.017,2308.044
34353,2S,WW,Brown,Right,20.0,20.002,2375.156
34353,2S,WW,Brown,Right,20.0,20.002,2359.684
34353,2S,EE,Brown,Right,20.0,20.002,2306.797
34353,2S,EE,Brown,Right,20.0,20.002,2306.486
34353,2S,WW,Brown,Right,20.0,20.015,2360.952
34353,2S,WW,Brown,Right,20.0,20.013,2366.77
34353,2S,EE,Brown,Right,20.0,20.026,2281.324
34353,2S,EE,Brown,Right,20.0,20.028,2277.038
34353,2S,WW,Brown,Right,20.0,20.002,2313.494
34353,2S,WW,Brown,Right,20.0,20.001,2318.237
34353,2S,EE,Brown,Right,20.0,20.005,2282.102
34353,2S,EE,Brown,Right,20.0,20.005,2283.143
34353,2S,WW,Brown,Right,20.0,20.015,2314.43
34353,2S,WW,Brown,Right,20.0,20.019,2320.06
34353,2S,EE,Brown,Right,20.0,20.003,2295.354
34353,2S,EE,Brown,Right,20.0,20.002,2293.952
34353,2S,WW,Brown,Right,20.0,20.007,2339.998
34353,2S,WW,Brown,Right,20.0,20.005,2342.385
34353,2S,EE,Brown,Right,20.0,20.001,2317.179
34353,2S,EE,Brown,Right,20.0,20.002,2319.329
34353,2S,WW,Brown,Right,20.0,20.012,2366.294
34353,2S,WW,Brown,Right,20.0,20.014,2367.082
34357,2S,EE,Perugia,Left,20.0,20.0,2344.382
34357,2S,WW,Perugia,Left,20.0,20.0,2343.549
34357,2S,EE,Perugia,Left,20.0,20.0,2334.513
34357,2S,WW,Perugia,Left,20.0,20.0,2337.488
34357,2S,EE,Perugia,Left,20.0,20.0,2361.757
34357,2S,WW,Perugia,Left,20.0,20.0,2343.833
34357,2S,EE,Perugia,Left,20.0,20.0,2368.075
34357,2S,WW,Perugia,Left,20.0,20.0,2350.219
34357,2S,EE,Perugia,Left,20.0,20.0,2361.138
34357,2S,WW,Perugia,Left,20.0,20.0,2340.956
34357,2S,EE,Perugia,Left,20.0,20.0,2364.794
34357,2S,WW,Perugia,Left,20.0,20.0,2348.298
34357,2S,EE,Perugia,Left,20.0,20.0,2373.829
34357,2S,WW,Perugia,Left,20.0,20.0,2344.7
34357,2S,EE,Perugia,Left,20.0,20.0,2367.817
34357,2S,WW,Perugia,Left,20.0,20.0,2355.827
34357,2S,EE,Perugia,Left,20.0,20.0,2373.513
34357,2S,WW,Perugia,Left,20.0,20.0,2377.282
34357,2S,EE,Perugia,Left,20.0,20.0,2392.837
34357,2S,WW,Perugia,Left,20.0,20.0,2388.132
34357,2S,EE,Perugia,Left,20.0,20.0,2326.099
34357,2S,EE,Perugia,Left,20.0,20.0,2326.099
34357,2S,EE,Perugia,Left,20.0,20.0,2316.989
34357,2S,EE,Perugia,Left,20.0,20.0,2316.482
34354,2S,EE,Perugia,Left,20.0,20.0,2337.488
34354,2S,WW,Perugia,Left,20.0,20.0,2381.151
34354,2S,EE,Perugia,Left,20.0,20.0,2348.272
34354,2S,WW,Perugia,Left,20.0,20.0,2387.045
34354,2S,EE,Perugia,Left,20.0,20.0,2349.739
34354,2S,WW,Perugia,Left,20.0,20.0,2369.991
34354,2S,EE,Perugia,Left,20.0,20.0,2356.46
34354,2S,WW,Perugia,Left,20.0,20.0,2385.523
34354,2S,EE,Perugia,Left,20.0,20.0,2352.834
34354,2S,WW,Perugia,Left,20.0,20.0,2390.31
34354,2S,EE,Perugia,Left,20.0,20.0,2363.907
34354,2S,WW,Perugia,Left,20.0,20.0,2377.419
34354,2S,EE,Perugia,Left,20.0,20.0,2369.206
34354,2S,WW,Perugia,Left,20.0,20.0,2373.998
34354,2S,EE,Perugia,Left,20.0,20.0,2370.727
34354,2S,WW,Perugia,Left,20.0,20.0,2365.826
34354,2S,EE,Perugia,Left,20.0,20.0,2356.665
34354,2S,WW,Perugia,Left,20.0,20.0,2360.196
34354,2S,EE,Perugia,Left,20.0,20.0,2325.238
34354,2S,WW,Perugia,Left,20.0,20.0,2361.214
34354,2S,EE,Perugia,Left,20.0,20.0,2330.083
34354,2S,WW,Perugia,Left,20.0,20.0,2377.136
34354,2S,EE,Perugia,Left,20.0,20.0,2317.406
34354,2S,WW,Perugia,Left,20.0,20.0,2366.485
34354,2S,EE,Perugia,Left,20.0,20.0,2316.745
34354,2S,WW,Perugia,Left,20.0,20.0,2379.15
34354,2S,EE,Perugia,Left,20.0,20.0,2330.412
34354,2S,WW,Perugia,Left,20.0,20.0,2394.649
34354,2S,EE,Perugia,Left,20.0,20.0,2377.481
34354,2S,WW,Perugia,Left,20.0,20.0,2391.899
34354,2S,EE,Perugia,Left,20.0,20.0,2326.123
34354,2S,WW,Perugia,Left,20.0,20.0,2386.104
34354,2S,EE,Perugia,Left,20.0,20.0,2331.318
34354,2S,WW,Perugia,Left,20.0,20.0,2393.905
34354,2S,EE,Perugia,Left,20.0,20.0,2341.772
34354,2S,WW,Perugia,Left,20.0,20.0,2418.43
34354,2S,EE,Perugia,Left,20.0,20.0,2353.29
34354,2S,EE,Perugia,Left,20.0,20.0,2421.092
34354,2S,EE,Perugia,Left,20.0,20.0,2359.301
34354,2S,WW,Perugia,Left,20.0,20.0,2414.168
34357,2S,EE,Perugia,Left,20.0,20.0,2333.734
34357,2S,WW,Perugia,Left,20.0,20.0,2327.637
34357,2S,EE,Perugia,Left,20.0,20.0,2335.936
34357,2S,WW,Perugia,Left,20.0,20.0,2328.573
34357,2S,EE,Perugia,Left,20.0,20.0,2341.828
34357,2S,WW,Perugia,Left,20.0,20.0,2344.958
34359,2S,EE,Brown,Right,20.0,19.943,2302.892
34359,2S,EE,Brown,Right,20.0,19.999,2310.891
34359,2S,WW,Brown,Right,20.0,19.997,2354.989
34359,2S,WW,Brown,Right,20.0,19.998,2349.691
34359,2S,EE,Brown,Right,20.0,20.005,2331.301
34359,2S,EE,Brown,Right,20.0,20.003,2319.061
34359,2S,WW,Brown,Right,20.0,20.002,2362.44
34359,2S,WW,Brown,Right,20.0,20.007,2356.232
34359,2S,EE,Brown,Right,20.0,20.0,2321.118
34359,2S,EE,Brown,Right,20.0,20.041,2331.63
34359,2S,WW,Brown,Right,20.0,20.004,2367.903
34359,2S,WW,Brown,Right,20.0,20.005,2372.153
34359,2S,EE,Brown,Right,20.0,20.005,2326.777
34359,2S,EE,Brown,Right,20.0,20.004,2335.049
34359,2S,WW,Brown,Right,20.0,20.01,2374.707
34359,2S,WW,Brown,Right,20.0,20.007,2375.83
34359,2S,EE,Brown,Right,20.0,20.019,2337.654
34359,2S,EE,Brown,Right,20.0,20.019,2358.242
34359,2S,WW,Brown,Right,20.0,20.0,2370.224
34359,2S,WW,Brown,Right,20.0,19.999,2363.125
34359,2S,EE,Brown,Right,20.0,20.0,2340.028
34359,2S,EE,Brown,Right,20.0,20.001,2340.621
34359,2S,WW,Brown,Right,20.0,20.01,2389.09
34359,2S,WW,Brown,Right,20.0,20.011,2383.033
34359,2S,EE,Brown,Right,20.0,20.052,2360.252
34359,2S,EE,Brown,Right,20.0,20.056,2352.894
34359,2S,WW,Brown,Right,20.0,20.008,2371.766
34359,2S,WW,Brown,Right,20.0,20.003,2370.391
34359,2S,EE,Brown,Right,20.0,20.004,2357.203
34359,2S,EE,Brown,Right,20.0,20.003,2348.428
34359,2S,WW,Brown,Right,20.0,20.009,2382.563
34359,2S,WW,Brown,Right,20.0,20.007,2390.462
34359,2S,EE,Brown,Right,20.0,20.017,2333.475
34359,2S,EE,Brown,Right,20.0,20.013,2369.102
34359,2S,WW,Brown,Right,20.0,20.005,2389.14
34359,2S,WW,Brown,Right,20.0,20.005,2384.47
34359,2S,EE,Brown,Right,20.0,20.002,2358.244
34359,2S,EE,Brown,Right,20.0,20.003,2357.067
34359,2S,WW,Brown,Right,20.0,20.015,2390.29
34359,2S,WW,Brown,Right,20.0,20.011,2382.803
34359,2S,EE,Brown,Right,20.0,20.05,2269.735
34359,2S,EE,Brown,Right,20.0,20.046,2275.762
34359,2S,WW,Brown,Right,20.0,20.004,2326.015
34359,2S,WW,Brown,Right,20.0,20.004,2322.811
34359,2S,EE,Brown,Right,20.0,20.001,2294.777
34359,2S,EE,Brown,Right,20.0,20.003,2301.102
34359,2S,WW,Brown,Right,20.0,20.01,2336.653
34359,2S,WW,Brown,Right,20.0,20.008,2331.616
34359,2S,EE,Brown,Right,20.0,19.988,2283.484
34359,2S,EE,Brown,Right,20.0,20.052,2282.582
34359,2S,WW,Brown,Right,20.0,20.084,2322.876
34359,2S,WW,Brown,Right,20.0,20.088,2329.094
34359,2S,EE,Brown,Right,20.0,20.001,2324.739
34359,2S,EE,Brown,Right,20.0,20.003,2321.685
34359,2S,WW,Brown,Right,20.0,20.006,2357.6
34359,2S,WW,Brown,Right,20.0,20.01,2352.881
34341,PSS,EE,Brown,Right,20.0,20.007,2304.576
34341,PSS,EE,Brown,Right,20.0,20.007,2296.543
34341,PSS,WW,Brown,Right,20.0,20.067,2380.565
34341,PSS,WW,Brown,Right,20.0,20.066,2397.562
34341,PSS,EE,Brown,Right,20.0,20.03,2287.082
34341,PSS,EE,Brown,Right,20.0,20.048,2275.568
34341,PSS,WW,Brown,Right,20.0,20.001,2365.237
34341,PSS,WW,Brown,Right,20.0,20.002,2381.517
34341,PSS,EE,Brown,Right,20.0,20.02,2284.278
34341,PSS,EE,Brown,Right,20.0,20.019,2298.935
34341,PSS,WW,Brown,Right,20.0,20.019,2375.706
34341,PSS,WW,Brown,Right,20.0,20.02,2356.466
34341,PSS,EE,Brown,Right,20.0,20.052,2292.2
34341,PSS,EE,Brown,Right,20.0,20.052,2317.351
34341,PSS,WW,Brown,Right,20.0,20.101,2351.598
34341,PSS,WW,Brown,Right,20.0,20.099,2380.44
34341,PSS,EE,Brown,Right,20.0,20.051,2295.866
34341,PSS,EE,Brown,Right,20.0,20.052,2282.579
34341,PSS,WW,Brown,Right,20.0,20.017,2356.098
34341,PSS,WW,Brown,Right,20.0,20.016,2383.004
34341,PSS,EE,Brown,Right,20.0,20.047,2296.01
34341,PSS,EE,Brown,Right,20.0,20.047,2320.859
34341,PSS,WW,Brown,Right,20.0,20.099,2365.126
34341,PSS,WW,Brown,Right,20.0,20.099,2390.157
34341,PSS,EE,Brown,Right,20.0,20.09,2275.847
34341,PSS,EE,Brown,Right,20.0,20.088,2301.144
34341,PSS,WW,Brown,Right,20.0,20.019,2354.116
34341,PSS,WW,Brown,Right,20.0,20.021,2384.612
34341,PSS,EE,Brown,Right,20.0,20.047,2299.317
34341,PSS,EE,Brown,Right,20.0,20.047,2314.113
34341,PSS,WW,Brown,Right,20.0,20.09,2380.036
34341,PSS,WW,Brown,Right,20.0,20.092,2367.545
34341,PSS,EE,Brown,Right,20.0,20.032,2273.682
34341,PSS,EE,Brown,Right,20.0,20.003,2326.685
34341,PSS,WW,Brown,Right,20.0,20.005,2350.294
34341,PSS,WW,Brown,Right,20.0,20.005,2356.914
34341,PSS,EE,Brown,Right,20.0,20.025,2281.575
