batch_number,Type,TOX_NM,Location,KIND_OF_HM_SET_ID
36697,PSS,667.995,Brown,Right
36697,PSS,662.612,Brown,Right
36697,PSS,662.612,Brown,Right
36697,PSS,662.612,Brown,Right
36697,PSS,664.4839999999999,Brown,Right
36697,PSS,664.4839999999999,Brown,Right
36697,PSS,664.4839999999999,Brown,Right
36697,PSS,664.637,Brown,Right
36697,PSS,664.637,Brown,Right
36697,PSS,664.637,Brown,Right
36697,PSS,665.664,Brown,Right
36697,PSS,665.664,Brown,Right
36697,PSS,665.664,Brown,Right
36697,PSS,662.7660000000001,Brown,Right
36697,PSS,662.7660000000001,Brown,Right
36697,PSS,662.7660000000001,Brown,Right
36697,PSS,672.675,Brown,Right
36697,PSS,672.675,Brown,Right
36697,PSS,672.675,Brown,Right
36697,PSS,663.584,Brown,Right
36697,PSS,663.584,Brown,Right
36697,PSS,663.584,Brown,Right
36697,PSS,670.716,Brown,Right
36697,PSS,670.716,Brown,Right
36697,PSS,670.716,Brown,Right
36697,PSS,661.8960000000001,Brown,Right
36697,PSS,661.8960000000001,Brown,Right
36697,PSS,661.8960000000001,Brown,Right
36697,PSS,658.075,Brown,Right
36697,PSS,658.075,Brown,Right
36697,PSS,658.075,Brown,Right
36697,PSS,663.289,Brown,Right
36697,PSS,663.289,Brown,Right
36697,PSS,663.289,Brown,Right
36697,PSS,658.862,Brown,Right
36697,PSS,658.862,Brown,Right
36697,PSS,658.862,Brown,Right
36697,PSS,657.765,Brown,Right
36697,PSS,657.765,Brown,Right
36697,PSS,657.765,Brown,Right
36697,PSS,660.495,Brown,Right
36697,PSS,660.495,Brown,Right
36697,PSS,660.495,Brown,Right
36697,PSS,654.808,Brown,Right
36697,PSS,654.808,Brown,Right
36697,PSS,654.808,Brown,Right
36698,2-S,676.982,HEPHY,Left
36698,2-S,692.307,HEPHY,Left
36698,2-S,679.487,HEPHY,Left
36698,2-S,697.117,HEPHY,Left
36698,2-S,676.8539999999999,HEPHY,Left
36698,2-S,694.5310000000001,HEPHY,Left
36698,2-S,676.3889999999999,HEPHY,Left
36698,2-S,695.57,HEPHY,Left
36698,2-S,673.765,HEPHY,Left
36698,2-S,690.462,HEPHY,Left
36698,2-S,674.765,HEPHY,Left
36698,2-S,689.5160000000001,HEPHY,Left
36698,2-S,669.2389999999999,HEPHY,Left
36698,2-S,678.835,HEPHY,Left
36698,2-S,669.284,HEPHY,Left
36698,2-S,688.025,HEPHY,Left
36698,2-S,670.187,HEPHY,Left
36698,2-S,680.435,HEPHY,Left
36698,2-S,667.2080000000001,HEPHY,Left
36698,2-S,679.429,HEPHY,Left
36699,2-S,683.273,HEPHY,Left
36699,2-S,670.2339999999999,HEPHY,Left
36699,2-S,685.933,HEPHY,Left
