,Name,Mode,DielNE,DielNW,DielSW,LineW_Pstop_std,LineW_Pstop_rot,LineW_Strip_std,LineW_Strip_rot,Rpoly,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
115,VPX35954_031_PSS_HM_W_Left,Quick,200,200,200,49.6178,49.8391,34.4101,34.2473,1.45096,4.34552,1.11598,-2.7027
116,VPX35954_038_PSS_HM_E_Left,Quick,200,200,200,49.786,50.2551,34.2151,34.403,1.45617,5.18425,1.0348600000000001,-2.64264
117,VPX35954_038_PSS_HM_W_Left,Quick,200,200,200,50.1594,48.3912,34.2095,34.2751,1.48301,5.2203800000000005,0.9812780000000001,-2.7027
118,VPX35954_042_PSS_HM_E_Left,Quick,200,200,200,49.574,49.4161,34.1745,34.0866,1.4762,5.8590800000000005,1.04625,-2.67267
119,VPX35954_042_PSS_HM_W_Left,Quick,200,200,200,50.6122,50.50899999999999,34.2817,34.205999999999996,1.4729,5.886830000000001,1.0246600000000001,-2.74775
120,VPX35954_010_PSS_HM_E_Left,Extended,200,200,200,52.0504,51.9323,34.3858,34.7365,1.51436,6.2216,1.38961,-2.74775
121,VPX35954_010_PSS_HM_W_Left,Extended,200,200,200,49.26,49.17100000000001,34.3464,34.4213,1.49532,5.8984,1.13762,-2.82282
122,VPX35954_021_PSS_HM_E_Left,Extended,200,200,200,49.1595,48.7188,34.3935,34.5966,1.49166,6.36835,1.20737,-2.73273
123,VPX35954_021_PSS_HM_W_Left,Extended,200,200,200,49.0553,48.9259,34.2052,34.185,1.4774200000000002,6.23021,1.15121,-2.77778
124,VPX35954_034_PSS_HM_E_Left,Extended,200,200,200,50.2065,49.2081,34.0836,34.3412,1.46133,6.06685,1.07415,-2.65766
125,VPX35954_034_PSS_HM_W_Left,Extended,200,200,200,50.7473,50.5761,34.3979,34.3753,1.46357,4.8884,1.04554,-2.73273
126,VPX35954_046_PSS_HM_E_Left,Extended,200,200,200,50.2986,50.5095,34.0764,34.3278,1.47705,5.428999999999999,1.11209,-2.65766
127,VPX35954_046_PSS_HM_W_Left,Extended,200,200,200,49.2148,49.0185,34.33,34.4542,1.5145600000000001,5.4139800000000005,1.0352700000000001,-2.71772
128,VPX36793_003_PSS_HM_E_Left,Quick,200,200,200,48.2719,48.332,33.8069,33.8435,1.5385799999999998,5.81069,1.26451,-2.98799
129,VPX36793_003_PSS_HM_W_Left,Quick,200,200,200,48.1114,48.0224,34.605,34.5582,1.49264,4.57379,1.06695,-3.07808
130,VPX36793_018_PSS_HM_E_Left,Quick,200,200,200,48.5504,48.6886,33.8973,33.9899,1.53719,5.48802,1.0494299999999999,-3.03303
131,VPX36793_018_PSS_HM_W_Left,Quick,200,200,200,48.5062,48.729,34.1779,34.0994,1.48569,6.34271,1.172,-3.2132099999999997
132,VPX36793_029_PSS_HM_E_Left,Quick,200,200,200,49.0878,49.0847,33.8731,33.9165,1.5375,5.51042,1.15838,-2.85285
133,VPX36793_029_PSS_HM_W_Left,Quick,200,200,200,52.2515,51.9771,33.8033,34.0242,1.47852,5.57506,1.08453,-2.94294
134,VPX36793_038_PSS_HM_E_Left,Quick,200,200,200,48.5735,48.335,33.8494,34.119,1.52275,6.05969,1.1007200000000001,-2.85285
135,VPX36793_038_PSS_HM_W_Left,Quick,200,200,200,49.2661,49.468,33.8601,34.1843,1.4801799999999998,6.06525,1.09236,-2.94294
136,VPX36793_007_PSS_HM_E_Left,Extended,200,200,200,50.1557,49.2603,33.9907,34.1072,1.5267700000000002,6.62763,1.17344,-2.97297
137,VPX36793_007_PSS_HM_W_Left,Extended,200,200,200,49.5962,48.9912,33.863,34.0464,1.47971,6.6585399999999995,1.1789100000000001,-3.09309
138,VPX36793_021_PSS_HM_E_Left,Extended,200,200,200,48.6795,49.2077,34.0191,34.2527,1.5408,6.8632100000000005,1.27908,-3.03303
139,VPX36793_021_PSS_HM_W_Left,Extended,200,200,200,49.9149,50.0604,33.9188,34.1003,1.49515,6.66937,1.3199100000000001,-3.16817
140,VPX36793_048_PSS_HM_E_Left,Extended,200,200,200,48.6376,48.8886,33.8489,34.111,1.54064,6.161169999999999,1.2512299999999998,-2.92793
141,VPX36793_048_PSS_HM_W_Left,Extended,200,200,200,48.5845,48.6178,33.8558,33.8254,1.51083,6.14617,1.24819,-3.03303
142,VPX35716_001_2-S_HM_E_Left,Quick,200,200,200,48.0899,48.556999999999995,33.9772,33.9534,1.76683,4.1653400000000005,1.06037,-2.05706
143,VPX35716_001_2-S_HM_W_Left,Quick,200,200,200,48.1434,47.853,33.9056,34.0912,1.7754900000000002,4.18037,1.00978,-2.17718
144,VPX35716_010_2-S_HM_E_Left,Quick,200,200,200,47.7226,47.867,34.4286,34.5729,1.85421,4.5099800000000005,1.0612700000000002,-2.07207
145,VPX35716_010_2-S_HM_W_Left,Quick,200,200,200,46.8008,47.2534,33.6457,33.5766,1.7754900000000002,4.2780000000000005,1.01549,-2.14715
146,VPX35716_022_2-S_HM_E_Left,Quick,200,200,200,48.7793,48.6436,34.4152,34.4552,1.79588,4.740819999999999,1.09633,-2.13213
147,VPX35716_022_2-S_HM_W_Left,Quick,200,200,200,50.6469,50.7835,33.3308,33.9278,1.8409799999999998,4.64583,1.04671,-2.20721
148,VPX35716_041_2-S_HM_E_Left,Quick,200,200,200,47.6971,48.1673,34.1744,34.2906,1.73543,4.42725,0.980294,-1.96697
149,VPX35716_041_2-S_HM_W_Left,Quick,200,200,200,47.9534,48.3063,33.975,33.1578,1.71953,4.49463,0.9866209999999999,-2.13213
150,VPX35716_049_2-S_HM_E_Left,Quick,200,200,200,47.5133,48.2509,34.3685,34.2762,1.7622799999999998,4.7005099999999995,1.0141,-1.9969999999999999
151,VPX35716_049_2-S_HM_W_Left,Quick,200,200,200,47.7623,48.7246,33.8167,33.81,1.75633,4.6966,0.99587,-2.13213
152,VPX35716_004_2-S_HM_E_Left,Extended,200,200,200,48.1372,48.4657,33.9526,34.1103,1.7855400000000001,4.31829,1.13858,-1.9819799999999999
153,VPX35716_004_2-S_HM_W_Left,Extended,200,200,200,47.8167,48.0482,33.8965,33.9685,1.78131,4.43262,1.00738,-2.05706
154,VPX35716_017_2-S_HM_E_Left,Extended,200,200,200,47.32899999999999,47.3455,33.8926,33.899,1.7643400000000002,5.2815,1.13944,-2.13213
155,VPX35716_017_2-S_HM_W_Left,Extended,200,200,200,47.9614,47.9602,33.9836,33.989000000000004,1.76112,4.916530000000001,1.0335299999999998,-2.2372400000000003
156,VPX35716_031_2-S_HM_E_Left,Extended,200,200,200,47.9333,48.018,33.9044,33.998000000000005,1.71843,4.89911,0.9612639999999999,-1.84685
157,VPX35716_031_2-S_HM_W_Left,Extended,200,200,200,48.18600000000001,48.0201,33.4844,33.6419,1.7457799999999999,4.881959999999999,0.9661709999999999,-1.96697
158,VPX35716_045_2-S_HM_E_Left,Extended,200,200,200,48.788000000000004,48.8834,33.7763,33.8658,1.73911,5.227519999999999,1.01693,-1.92192
159,VPX35716_045_2-S_HM_W_Left,Extended,200,200,200,48.1126,48.2534,33.403,33.5931,1.7302799999999998,5.39941,1.0594299999999999,-2.05706
160,VPX36243_003_2-S_HM_E_Left,Quick,200,200,200,52.7964,52.4947,33.6291,33.8046,1.51924,5.8641,1.14076,-2.6876900000000004
161,VPX36243_003_2-S_HM_W_Left,Quick,200,200,200,51.6742,51.6437,33.7461,33.9519,1.4550100000000001,5.84871,1.0355299999999998,-2.74775
162,VPX36243_011_2-S_HM_E_Left,Quick,200,200,200,52.7709,52.9965,33.6415,33.6989,1.49486,6.26485,1.2505600000000001,-2.74775
163,VPX36243_011_2-S_HM_W_Left,Quick,200,200,200,52.5689,52.7739,34.3031,34.3829,1.45904,6.08977,1.2052,-2.79279
164,VPX36243_020_2-S_HM_E_Left,Quick,200,200,200,52.6033,52.7207,33.6986,33.8683,1.5343,6.3032900000000005,1.23678,-2.56757
165,VPX36243_020_2-S_HM_W_Left,Quick,200,200,200,52.4098,52.2733,33.7479,33.8055,1.51137,6.16231,1.21956,-2.67267
166,VPX36243_031_2-S_HM_E_Left,Quick,200,200,200,51.8087,51.641999999999996,33.8218,33.7383,1.4990299999999999,5.45362,1.07931,-2.5976
