,Name,Mode,Meander_Rsh,ClMet_Rsh_std,ClMet_Rsh_rot,VDPEdge_std,VDPEdge_rot,LineW_Edge_std,LineW_Edge_rot,VDPBulk_std,VDPBulk_rot,VDPBulk_ResF1081,VDPBulk_ResF1218,Diode_I600,Diode_Cap,Diode_Vdep,Diode_Rho_Bulk
67,VPX36794_026_PSS_HM_W_Left,Quick,,,,,,,,77.6205,77.8902,3.7407800000000004,4.1839,0.6828960000000001,2.75386,210.13400000000001,4.07447
68,VPX36794_035_PSS_HM_E_Left,Quick,,,,,,,,75.7451,76.6265,3.6504,4.08281,0.44838900000000004,2.7557400000000003,218.813,3.90208
69,VPX36794_035_PSS_HM_W_Left,Quick,,,,,,,,76.1176,76.4017,3.66835,4.10289,0.609586,2.73733,214.71599999999998,3.9600699999999995
70,VPX36244_003_2-S_HM_E_Left,Extended,0.244321,16.6957,16.7178,1.25885,1.258,46.5059,46.4744,61.0189,61.8405,2.9407,3.28904,0.578702,2.93014,287.807,3.00156
71,VPX36244_003_2-S_HM_W_Left,Extended,0.255231,17.3,17.1075,1.2403899999999999,1.24005,46.1331,46.1206,61.1182,60.8759,2.94548,3.29439,0.738866,2.76057,298.406,2.9029
72,VPX36244_016_2-S_HM_E_Left,Extended,0.23105,16.8765,16.7272,1.26694,1.2716399999999999,46.7013,46.8746,62.0671,61.9672,2.9912099999999997,3.34554,0.070641,2.96171,252.324,3.43071
73,VPX36244_016_2-S_HM_W_Left,Extended,0.23890999999999998,17.3933,17.1576,1.25916,1.26339,47.5179,47.6777,63.3543,63.7558,3.05325,3.4149300000000005,0.074036,3.01193,268.462,3.21124
74,VPX36244_028_2-S_HM_E_Left,Extended,0.24386799999999997,17.0596,17.0025,1.27768,1.26851,46.492,46.1583,62.6636,63.1779,3.0199599999999998,3.3777,0.07851,2.9859299999999998,274.683,3.1471299999999998
75,VPX36244_028_2-S_HM_W_Left,Extended,0.204423,17.3618,17.223,1.24156,1.2375200000000002,47.1133,46.9597,62.2394,62.878,2.99951,3.35483,0.56406,2.92286,279.599,3.0748599999999997
76,VPX36244_042_2-S_HM_E_Left,Extended,0.22951799999999997,16.7458,16.7458,1.2489700000000001,1.24994,46.611999999999995,46.6481,60.6939,60.1797,2.92503,3.27152,0.748315,2.71636,284.835,2.96664
77,VPX36244_042_2-S_HM_W_Left,Extended,0.23206999999999997,17.1238,16.894000000000002,1.22945,1.22917,47.175,47.1643,60.5053,60.755,2.91594,3.26136,0.803298,2.71029,317.306,2.66491
