ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,AGGREGATED_COND_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VTH_V
9284793,9160,"Tracker Halfmoon TC Parameters",820526,,820525,7400,"2S Halfmoon E",28964,34348_002_2-S_HM_EE,,34348_002_2-S_HM_EE,4.032
9284782,9160,"Tracker Halfmoon TC Parameters",819839,,819838,7400,"2S Halfmoon E",28964,34348_002_2-S_HM_EE,,34348_002_2-S_HM_EE,4.057
9284798,9160,"Tracker Halfmoon TC Parameters",820865,,820864,7420,"2S Halfmoon W",28967,34348_002_2-S_HM_WW,,34348_002_2-S_HM_WW,3.105
9320621,9160,"Tracker Halfmoon TC Parameters",821072,,821071,7400,"2S Halfmoon E",28968,34348_004_2-S_HM_EE,,34348_004_2-S_HM_EE,4.105
9320622,9160,"Tracker Halfmoon TC Parameters",821075,,821074,7400,"2S Halfmoon E",28968,34348_004_2-S_HM_EE,,34348_004_2-S_HM_EE,4.105
9284786,9160,"Tracker Halfmoon TC Parameters",820106,,820105,7400,"2S Halfmoon E",28968,34348_004_2-S_HM_EE,,34348_004_2-S_HM_EE,4.105
9284799,9160,"Tracker Halfmoon TC Parameters",820976,,820975,7420,"2S Halfmoon W",28971,34348_004_2-S_HM_WW,,34348_004_2-S_HM_WW,2.973
9284794,9160,"Tracker Halfmoon TC Parameters",820538,,820537,7400,"2S Halfmoon E",28972,34348_005_2-S_HM_EE,,34348_005_2-S_HM_EE,4.135
9284781,9160,"Tracker Halfmoon TC Parameters",819803,,819802,7420,"2S Halfmoon W",28975,34348_005_2-S_HM_WW,,34348_005_2-S_HM_WW,2.979
9284787,9160,"Tracker Halfmoon TC Parameters",820175,,820174,7400,"2S Halfmoon E",29380,34348_007_2-S_HM_EE,,34348_007_2-S_HM_EE,4.139
9320624,9160,"Tracker Halfmoon TC Parameters",821312,,821311,7420,"2S Halfmoon W",29383,34348_007_2-S_HM_WW,,34348_007_2-S_HM_WW,2.994
9284796,9160,"Tracker Halfmoon TC Parameters",820742,,820741,7400,"2S Halfmoon E",29384,34348_009_2-S_HM_EE,,34348_009_2-S_HM_EE,4.143
9284788,9160,"Tracker Halfmoon TC Parameters",820199,,820198,7420,"2S Halfmoon W",29387,34348_009_2-S_HM_WW,,34348_009_2-S_HM_WW,2.932
9320620,9160,"Tracker Halfmoon TC Parameters",820982,,820981,7400,"2S Halfmoon E",29388,34348_012_2-S_HM_EE,,34348_012_2-S_HM_EE,4.182
9284790,9160,"Tracker Halfmoon TC Parameters",820322,,820321,7420,"2S Halfmoon W",29391,34348_012_2-S_HM_WW,,34348_012_2-S_HM_WW,3.269
9284795,9160,"Tracker Halfmoon TC Parameters",820556,,820555,7400,"2S Halfmoon E",29392,34348_013_2-S_HM_EE,,34348_013_2-S_HM_EE,4.257
9284780,9160,"Tracker Halfmoon TC Parameters",819758,,819757,7420,"2S Halfmoon W",29395,34348_013_2-S_HM_WW,,34348_013_2-S_HM_WW,3.538
20732130,9160,"Tracker Halfmoon TC Parameters",1906472,,1906471,7480,"PS-s Halfmoon E",30550,34254_036_PSS_HM_EE,,34254_036_PSS_HM_EE,4.088
20732131,9160,"Tracker Halfmoon TC Parameters",1906532,,1906531,7500,"PS-s Halfmoon W",30555,34254_036_PSS_HM_WW,,34254_036_PSS_HM_WW,4.116
20732125,9160,"Tracker Halfmoon TC Parameters",1905998,,1905997,7480,"PS-s Halfmoon E",30556,34254_037_PSS_HM_EE,,34254_037_PSS_HM_EE,4.064
20732121,9160,"Tracker Halfmoon TC Parameters",1905005,,1905004,7500,"PS-s Halfmoon W",30561,34254_037_PSS_HM_WW,,34254_037_PSS_HM_WW,4.095
20641688,9160,"Tracker Halfmoon TC Parameters",1901918,,1901917,7480,"PS-s Halfmoon E",30568,34254_039_PSS_HM_EE,,34254_039_PSS_HM_EE,4.083
20676279,9160,"Tracker Halfmoon TC Parameters",1904858,,1904857,7500,"PS-s Halfmoon W",30573,34254_039_PSS_HM_WW,,34254_039_PSS_HM_WW,4.113
20732129,9160,"Tracker Halfmoon TC Parameters",1906322,,1906321,7480,"PS-s Halfmoon E",30574,34254_040_PSS_HM_EE,,34254_040_PSS_HM_EE,4.087
20641685,9160,"Tracker Halfmoon TC Parameters",1901813,,1901812,7500,"PS-s Halfmoon W",30579,34254_040_PSS_HM_WW,,34254_040_PSS_HM_WW,4.107
9284783,9160,"Tracker Halfmoon TC Parameters",819845,,819844,7420,"2S Halfmoon W",29415,34348_018_2-S_HM_WW,,34348_018_2-S_HM_WW,3.384
9284784,9160,"Tracker Halfmoon TC Parameters",819995,,819994,7400,"2S Halfmoon E",29428,34348_022_2-S_HM_EE,,34348_022_2-S_HM_EE,4.162
