batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,ISURF_PAMPR,S0_CMSEC,VFB_ACC_V,VFB_INV_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,WW,26289,34252_015_PSS_HM_WW,7.107,1.619,-1.953,-1.676,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.025,Test_HPK_VPX34252_015_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_25_2020_08_02_23_PM.txt,Brown
34252,PSS,WW,26289,34252_015_PSS_HM_WW,7.217,1.638,-1.897,-1.621,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,20.0,20.069,Test_HPK_VPX34252_015_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_26_2020_05_44_18_PM.txt,Brown
34252,PSS,EE,26290,34252_016_PSS_HM_EE,7.113,1.615,-2.036,-1.77,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.063,Test_HPK_VPX34252_016_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_26_2020_12_39_25_PM.txt,Brown
34252,PSS,EE,26290,34252_016_PSS_HM_EE,7.14,1.621,-1.88,-1.578,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.064,Test_HPK_VPX34252_016_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_27_2020_01_26_50_PM.txt,Brown
34252,PSS,WW,26295,34252_016_PSS_HM_WW,7.055,1.602,-1.933,-1.66,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 4,0.01,20.0,20.062,Test_HPK_VPX34252_016_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_27_2020_03_26_21_PM.txt,Brown
34252,PSS,WW,26295,34252_016_PSS_HM_WW,7.412,1.689,-1.976,-1.72,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.022,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_26_2020_02_33_19_PM.txt,Brown
34252,PSS,EE,26308,34252_019_PSS_HM_EE,6.646,1.516,-1.996,-1.684,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.005,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_19_2020_05_34_21_PM.txt,Brown
34252,PSS,EE,26308,34252_019_PSS_HM_EE,7.046,1.602,-1.855,-1.561,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.045,Test_HPK_VPX34252_019_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_20_2020_04_54_41_PM.txt,Brown
34252,PSS,WW,26313,34252_019_PSS_HM_WW,6.531,1.489,-1.945,-1.675,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.014,Test_HPK_VPX34252_019_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_19_2020_06_57_59_PM.txt,Brown
34252,PSS,WW,26313,34252_019_PSS_HM_WW,6.991,1.588,-1.916,-1.654,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,20.0,20.059,Test_HPK_VPX34252_019_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_20_2020_06_21_53_PM.txt,Brown
34252,PSS,EE,26314,34252_020_PSS_HM_EE,7.181,1.632,-1.991,-1.695,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.05,Test_HPK_VPX34252_020_PSS_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_08_20_2020_01_09_40_PM.txt,Brown
34252,PSS,EE,26314,34252_020_PSS_HM_EE,7.262,1.653,-1.825,-1.557,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.033,Test_HPK_VPX34252_020_PSS_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_08_21_2020_07_11_55_PM.txt,Brown
34252,PSS,WW,26319,34252_020_PSS_HM_WW,7.059,1.607,-1.898,-1.607,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 4,0.01,20.0,20.032,Test_HPK_VPX34252_020_PSS_HM_WW_West_South_PQC4_GCD_GCD05_IV_Run01_08_21_2020_08_35_46_PM.txt,Brown
34252,PSS,WW,26319,34252_020_PSS_HM_WW,6.901,1.574,-1.94,-1.661,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.009,Test_HPK_VPX34252_020_PSS_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_08_20_2020_02_57_06_PM.txt,Brown
34331,2S,EE,29800,34331_001_2-S_HM_EE,6.8,1.074,-2.449,-2.185,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,20.0,20.114,Test_HPK_VPX34331_001_2-S_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_14_2020_06_26_12_PM.txt,Brown
