batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
42651,2S,WW,Perugia,Left,20.0,20.0,3.703
42651,2S,EE,Perugia,Left,20.0,20.0,5.54
42651,2S,EE,Perugia,Left,20.0,20.0,3.725
42651,2S,WW,Perugia,Left,20.0,20.0,5.503
42651,2S,WW,Perugia,Left,20.0,20.0,3.698
42651,2S,EE,Perugia,Left,20.0,20.0,3.397
42651,2S,WW,Perugia,Left,20.0,20.0,3.406
42651,2S,EE,Perugia,Left,20.0,20.0,5.2
42651,2S,EE,Perugia,Left,20.0,20.0,3.379
42651,2S,WW,Perugia,Left,20.0,20.0,5.2
42651,2S,WW,Perugia,Left,20.0,20.0,3.393
42651,2S,EE,Perugia,Left,20.0,20.0,3.487
42651,2S,WW,Perugia,Left,20.0,20.0,3.522
42651,2S,EE,Perugia,Left,20.0,20.0,5.26
42651,2S,EE,Perugia,Left,20.0,20.0,3.548
42651,2S,WW,Perugia,Left,20.0,20.0,5.077
42651,2S,WW,Perugia,Left,20.0,20.0,3.513
42652,2S,EE,Perugia,Left,20.0,20.0,3.521
42652,2S,WW,Perugia,Left,20.0,20.0,3.536
42652,2S,EE,Perugia,Left,20.0,20.0,3.606
42652,2S,WW,Perugia,Left,20.0,20.0,3.57
42652,2S,EE,Perugia,Left,20.0,20.0,3.714
42652,2S,WW,Perugia,Left,20.0,20.0,3.743
42652,2S,EE,Perugia,Left,20.0,20.0,3.764
42652,2S,WW,Perugia,Left,20.0,20.0,3.765
42652,2S,EE,Perugia,Left,20.0,20.0,3.344
42652,2S,WW,Perugia,Left,20.0,20.0,3.365
42652,2S,EE,Perugia,Left,20.0,20.0,3.466
42652,2S,WW,Perugia,Left,20.0,20.0,3.393
42652,2S,EE,Perugia,Left,20.0,20.0,3.47
42652,2S,WW,Perugia,Left,20.0,20.0,3.509
42652,2S,EE,Perugia,Left,20.0,20.0,3.555
42652,2S,WW,Perugia,Left,20.0,20.0,3.493
42256,2S,EE,Brown,Right,20.0,20.012,3.504
42256,2S,WW,Brown,Right,20.0,20.022,3.524
42256,2S,EE,Brown,Right,20.0,20.038,3.366
42256,2S,WW,Brown,Right,20.0,20.053,3.394
42256,2S,EE,Brown,Right,20.0,20.054,3.513
42256,2S,WW,Brown,Right,20.0,20.038,3.482
42256,2S,EE,Brown,Right,20.0,20.086,3.53
42256,2S,WW,Brown,Right,20.0,20.056,3.594
42256,2S,EE,Brown,Right,20.0,20.017,3.416
42256,2S,WW,Brown,Right,20.0,20.054,3.477
42256,2S,EE,Brown,Right,20.0,20.007,3.259
42256,2S,WW,Brown,Right,20.0,20.017,3.376
42256,2S,EE,Brown,Right,20.0,20.061,3.454
42256,2S,WW,Brown,Right,20.0,20.037,3.247
42256,2S,EE,Brown,Right,20.0,20.061,3.286
42256,2S,WW,Brown,Right,20.0,20.038,3.411
42649,PSS,EE,Perugia,Left,20.0,20.0,3.96
42649,PSS,EE,Perugia,Left,20.0,20.0,3.927
42649,PSS,EE,Perugia,Left,20.0,20.0,3.947
42649,PSS,WW,Perugia,Left,20.0,20.0,4.007
42649,PSS,EE,Perugia,Left,20.0,20.0,4.021
42649,PSS,WW,Perugia,Left,20.0,20.0,4.152
42649,PSS,EE,Perugia,Left,20.0,20.0,4.103
42649,PSS,WW,Perugia,Left,20.0,20.0,4.172
42649,PSS,EE,Perugia,Left,20.0,20.0,4.085
42649,PSS,WW,Perugia,Left,20.0,20.0,4.22
42649,PSS,EE,Perugia,Left,20.0,20.0,3.803
42257,2S,EE,Brown,Right,20.0,20.032,2.933
42257,2S,WW,Brown,Right,20.0,20.084,3.053
42257,2S,EE,Brown,Right,20.0,20.015,3.015
42257,2S,WW,Brown,Right,20.0,20.035,3.112
42257,2S,EE,Brown,Right,20.0,20.13,3.145
42257,2S,WW,Brown,Right,20.0,20.043,3.089
42257,2S,EE,Brown,Right,20.0,20.067,3.169
42257,2S,WW,Brown,Right,20.0,20.036,3.205
42257,2S,EE,Brown,Right,20.0,20.006,1.735
42257,2S,WW,Brown,Right,20.0,20.015,2.73
