batch_number,Type,VFB_V,Location,KIND_OF_HM_SET_ID
34359,2-S,-2.824,Brown,Right
34359,2-S,-2.753,Brown,Right
34359,2-S,-2.626,Brown,Left
34359,2-S,-2.799,Brown,Left
34359,2-S,-2.84,Brown,Right
34359,2-S,-2.761,Brown,Right
34359,2-S,-2.84,Brown,Right
34359,2-S,-2.754,Brown,Right
34359,2-S,-2.57,Brown,Left
34359,2-S,-2.836,Brown,Right
34359,2-S,-2.875,Brown,Right
34359,2-S,-2.826,Brown,Right
34359,2-S,-2.863,Brown,Right
34359,2-S,-2.617,Brown,Left
34359,2-S,-2.644,Brown,Right
34359,2-S,-2.604,Brown,Left
34359,2-S,-2.671,Brown,Right
34359,2-S,-2.759,Brown,Right
34359,2-S,-2.758,Brown,Right
34359,2-S,-2.732,Brown,Right
34359,2-S,-2.782,Brown,Right
35494,PSP,-5.401,Perugia,Left
35494,PSP,-4.576,Perugia,Right
35494,PSP,-5.355,Perugia,Left
35494,PSP,-4.633,Perugia,Left
35494,PSP,-5.416,Perugia,Left
35494,PSP,-4.873,Perugia,Left
35494,PSP,-5.373,Perugia,Left
35494,PSP,-4.817,Perugia,Left
35494,PSP,-5.144,Perugia,Left
35494,PSP,-4.35,Perugia,Left
35494,PSP,-5.158,Perugia,Left
35494,PSP,-4.436,Perugia,Left
35494,PSP,-5.232,Perugia,Left
35494,PSP,-4.412,Perugia,Right
35494,PSP,-5.273,Perugia,Left
35494,PSP,-4.465,Perugia,Left
35494,PSP,-5.285,Perugia,Left
35494,PSP,-5.285,Perugia,Left
35494,PSP,-4.638,Perugia,Left
35495,PSP,5.1,Perugia,Left
35495,PSP,5.1,Perugia,Left
35495,PSP,-4.086,Perugia,Left
35495,PSP,-5.098,Perugia,Left
35495,PSP,-5.102,Perugia,Right
35495,PSP,-4.153,Perugia,Left
35495,PSP,-4.355,Perugia,Left
35495,PSP,-5.219,Perugia,Right
35495,PSP,-5.219,Perugia,Right
35495,PSP,-5.103,Perugia,Right
35495,PSP,-5.217,Perugia,Left
35495,PSP,-5.197,Perugia,Left
35495,PSP,-5.139,Perugia,Left
35495,PSP,-4.218,Perugia,Left
35495,PSP,-4.715,Perugia,Left
35495,PSP,-4.198,Perugia,Left
35495,PSP,-4.801,Perugia,Left
35495,PSP,-4.97,Perugia,Left
35495,PSP,-4.111,Perugia,Left
35495,PSP,-4.956,Perugia,Left
35495,PSP,-4.15,Perugia,Right
35496,PSP,5.222,HEPHY,Right
35496,PSP,4.726,HEPHY,Right
35496,PSP,4.72,HEPHY,Right
35496,PSP,5.393,HEPHY,Right
35496,PSP,5.29,HEPHY,Left
35496,PSP,4.808,HEPHY,Left
35496,PSP,5.286,HEPHY,Right
35496,PSP,4.647,HEPHY,Right
35496,PSP,4.888,HEPHY,Right
35496,PSP,5.209,HEPHY,Right
35496,PSP,5.304,HEPHY,Left
35496,PSP,4.742,HEPHY,Left
35496,PSP,4.866,HEPHY,Right
35496,PSP,5.14,HEPHY,Right
35496,PSP,5.259,HEPHY,Left
35496,PSP,4.802,HEPHY,Left
35496,PSP,4.379,HEPHY,Right
35496,PSP,5.008,HEPHY,Right
35496,PSP,4.309,HEPHY,Left
35496,PSP,5.116,HEPHY,Left
35496,PSP,4.35,HEPHY,Right
35496,PSP,4.993,HEPHY,Right
35496,PSP,4.256,HEPHY,Right
35496,PSP,5.039,HEPHY,Right
35496,PSP,5.012,HEPHY,Right
35496,PSP,4.472,HEPHY,Right
35496,PSP,5.095,HEPHY,Right
35496,PSP,4.348,HEPHY,Right
35496,PSP,4.603,HEPHY,Right
35496,PSP,5.128,HEPHY,Right
35496,PSP,5.171,HEPHY,Right
35496,PSP,4.475,HEPHY,Right
35499,PSP,5.009,HEPHY,Right
35499,PSP,4.634,HEPHY,Right
35499,PSP,4.438,HEPHY,Right
35499,PSP,5.117,HEPHY,Right
35499,PSP,4.636,HEPHY,Right
35499,PSP,5.029,HEPHY,Right
35499,PSP,5.068,HEPHY,Left
35499,PSP,4.423,HEPHY,Left
35499,PSP,5.066,HEPHY,Left
35499,PSP,4.717,HEPHY,Left
35499,PSP,5.183,HEPHY,Left
35499,PSP,4.49,HEPHY,Left
35499,PSP,5.178,HEPHY,Left
35499,PSP,4.905,HEPHY,Left
35499,PSP,4.724,HEPHY,Right
35499,PSP,5.285,HEPHY,Right
35499,PSP,4.891,HEPHY,Right
35499,PSP,5.111,HEPHY,Right
35499,PSP,4.761,HEPHY,Left
35499,PSP,5.238,HEPHY,Left
35499,PSP,4.526,HEPHY,Right
35499,PSP,5.151,HEPHY,Right
35499,PSP,4.295,HEPHY,Right
35499,PSP,5.163,HEPHY,Right
35499,PSP,5.054,HEPHY,Right
35499,PSP,4.549,HEPHY,Right
35499,PSP,4.313,HEPHY,Right
35499,PSP,5.139,HEPHY,Right
35499,PSP,4.689,HEPHY,Right
35499,PSP,5.117,HEPHY,Right
35499,PSP,4.382,HEPHY,Left
35499,PSP,5.181,HEPHY,Left
35499,PSP,4.596,HEPHY,Right
35499,PSP,5.058,HEPHY,Right
35499,PSP,5.1,HEPHY,Right
35499,PSP,4.353,HEPHY,Right
35499,PSP,5.047,HEPHY,Right
35499,PSP,4.626,HEPHY,Right
35499,PSP,5.11,HEPHY,Right
35499,PSP,4.425,HEPHY,Right
35500,PSP,-4.801,Brown,Right
35500,PSP,-5.218,Brown,Right
35500,PSP,-4.704,Brown,Right
35500,PSP,-5.159,Brown,Right
35500,PSP,-4.901,Brown,Right
35500,PSP,-5.268,Brown,Right
35500,PSP,-4.936,Brown,Right
35500,PSP,-5.219,Brown,Right
35500,PSP,-4.842,Brown,Right
35500,PSP,-5.125,Brown,Right
35500,PSP,-4.342,Brown,Right
