batch_number,Type,ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,CAC_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,21931004,9140,Tracker Halfmoon CV Parameters,2049209,7500,PS-s Halfmoon W,26289,34252_015_PSS_HM_WW,34252_015_PSS_HM_WW,-2.477,84.931,4538552000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.085,Test_HPK_VPX34252_015_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_08_26_2020_04_46_17_PM.txt,Brown
34252,PSS,21902046,9140,Tracker Halfmoon CV Parameters,2048207,7480,PS-s Halfmoon E,26290,34252_016_PSS_HM_EE,34252_016_PSS_HM_EE,-2.452,85.346,4559939000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.047,Test_HPK_VPX34252_016_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run02_08_27_2020_01_37_27_PM.txt,Brown
34252,PSS,21944743,9140,Tracker Halfmoon CV Parameters,2049809,7480,PS-s Halfmoon E,26290,34252_016_PSS_HM_EE,34252_016_PSS_HM_EE,-2.444,86.99,4647540000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.047,Test_HPK_VPX34252_016_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run02_08_27_2020_01_37_27_PM.txt,Brown
34252,PSS,21842666,9140,Tracker Halfmoon CV Parameters,2045840,7500,PS-s Halfmoon W,26295,34252_016_PSS_HM_WW,34252_016_PSS_HM_WW,-2.417,86.587,4625101000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.029,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_26_2020_01_35_24_PM.txt,Brown
34252,PSS,21931017,9140,Tracker Halfmoon CV Parameters,2049545,7500,PS-s Halfmoon W,26295,34252_016_PSS_HM_WW,34252_016_PSS_HM_WW,-2.489,85.262,4556688000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.029,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_26_2020_01_35_24_PM.txt,Brown
34252,PSS,21842663,9140,Tracker Halfmoon CV Parameters,2045735,7480,PS-s Halfmoon E,26308,34252_019_PSS_HM_EE,34252_019_PSS_HM_EE,-2.445,86.843,4639750000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.159,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run02_08_19_2020_04_08_57_PM.txt,Brown
34252,PSS,21931006,9140,Tracker Halfmoon CV Parameters,2049230,7480,PS-s Halfmoon E,26308,34252_019_PSS_HM_EE,34252_019_PSS_HM_EE,-2.431,84.787,4529422000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.159,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run02_08_19_2020_04_08_57_PM.txt,Brown
34252,PSS,21931005,9140,Tracker Halfmoon CV Parameters,2049218,7500,PS-s Halfmoon W,26313,34252_019_PSS_HM_WW,34252_019_PSS_HM_WW,-2.381,86.536,4621232000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.007,Test_HPK_VPX34252_019_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_19_2020_06_05_28_PM.txt,Brown
34252,PSS,21902048,9140,Tracker Halfmoon CV Parameters,2048276,7500,PS-s Halfmoon W,26313,34252_019_PSS_HM_WW,34252_019_PSS_HM_WW,-2.337,71.824,3834386000000.0,,,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.007,Test_HPK_VPX34252_019_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_19_2020_06_05_28_PM.txt,Brown
34252,PSS,21918345,9140,Tracker Halfmoon CV Parameters,2048771,7480,PS-s Halfmoon E,26314,34252_020_PSS_HM_EE,34252_020_PSS_HM_EE,-2.41,86.322,4610741000000.0,,,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.043,Test_HPK_VPX34252_020_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_21_2020_06_22_32_PM.txt,Brown
