batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,VTH_V,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34332,2S,WW,824388,28283,34332_001_2-S_HM_WW,4.032,34332_001_2-S_HM_WW,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_W_flute1_R_FET_24_9_2020_11h29m49s.txt,Perugia
34332,2S,WW,824721,28283,34332_001_2-S_HM_WW,3.81,34332_001_2-S_HM_WW,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_W_flute1_L_FET_24_9_2020_9h54m56s.txt,Perugia
34332,2S,EE,824430,28300,34332_006_2-S_HM_EE,4.126,34332_006_2-S_HM_EE,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_E_flute1_R_FET_25_9_2020_12h29m45s.txt,Perugia
34332,2S,EE,826167,28300,34332_006_2-S_HM_EE,4.132,34332_006_2-S_HM_EE,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_E_flute1_L_FET_25_9_2020_11h19m3s.txt,Perugia
34332,2S,WW,824706,28303,34332_006_2-S_HM_WW,4.141,34332_006_2-S_HM_WW,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_W_flute1_R_FET_25_9_2020_10h36m25s.txt,Perugia
34332,2S,WW,825594,28303,34332_006_2-S_HM_WW,3.974,34332_006_2-S_HM_WW,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_W_flute1_L_FET_25_9_2020_9h5m31s.txt,Perugia
34332,2S,EE,825576,28312,34332_009_2-S_HM_EE,4.127,34332_009_2-S_HM_EE,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_E_flute1_R_FET_19_10_2020_9h0m36s.txt,Perugia
34332,2S,EE,825795,28312,34332_009_2-S_HM_EE,4.134,34332_009_2-S_HM_EE,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_E_flute1_L_FET_19_10_2020_10h51m58s.txt,Perugia
34332,2S,WW,825372,28315,34332_009_2-S_HM_WW,3.983,34332_009_2-S_HM_WW,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_W_flute1_L_FET_19_10_2020_12h51m23s.txt,Perugia
34332,2S,WW,825915,28315,34332_009_2-S_HM_WW,4.091,34332_009_2-S_HM_WW,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_W_flute1_R_FET_19_10_2020_13h49m12s.txt,Perugia
34332,2S,EE,825642,28320,34332_011_2-S_HM_EE,4.054,34332_011_2-S_HM_EE,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_E_flute1_L_FET_28_9_2020_11h35m27s.txt,Perugia
34332,2S,EE,825933,28320,34332_011_2-S_HM_EE,4.088,34332_011_2-S_HM_EE,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_E_flute1_R_FET_28_9_2020_13h5m31s.txt,Perugia
34332,2S,WW,824415,28323,34332_011_2-S_HM_WW,4.058,34332_011_2-S_HM_WW,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_W_flute1_R_FET_28_9_2020_15h9m26s.txt,Perugia
34332,2S,WW,825420,28323,34332_011_2-S_HM_WW,3.931,34332_011_2-S_HM_WW,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_W_flute1_L_FET_28_9_2020_14h38m13s.txt,Perugia
34332,2S,EE,825030,28344,34332_017_2-S_HM_EE,4.034,34332_017_2-S_HM_EE,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_E_flute1_L_FET_29_9_2020_8h55m5s.txt,Perugia
34332,2S,EE,825759,28344,34332_017_2-S_HM_EE,4.045,34332_017_2-S_HM_EE,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_E_flute1_R_FET_29_9_2020_10h32m14s.txt,Perugia
34332,2S,WW,824511,28347,34332_017_2-S_HM_WW,3.925,34332_017_2-S_HM_WW,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_W_flute1_L_FET_28_9_2020_17h26m21s.txt,Perugia
34332,2S,WW,825762,28347,34332_017_2-S_HM_WW,4.017,34332_017_2-S_HM_WW,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_W_flute1_R_FET_28_9_2020_18h50m32s.txt,Perugia
34332,2S,EE,825411,28364,34332_024_2-S_HM_EE,3.972,34332_024_2-S_HM_EE,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_024_2-S_HM_E_flute1_L_FET_29_9_2020_13h41m8s.txt,Perugia
