batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,WW,2046511,26217,34252_003_PSS_HM_WW,,,,,101.0043,34252_003_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.059,Test_HPK_VPX34252_003_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_17_2020_01_29_55_PM.txt,Brown
34252,PSS,WW,2049265,26217,34252_003_PSS_HM_WW,,,,,96.91455,34252_003_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.001,Test_HPK_VPX34252_003_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_13_2020_08_28_14_PM.txt,Brown
34252,PSS,EE,2045878,26218,34252_004_PSS_HM_EE,,,,,94.05517,34252_004_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.028,Test_HPK_VPX34252_004_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_14_2020_04_41_22_PM.txt,Brown
34252,PSS,EE,2048293,26218,34252_004_PSS_HM_EE,,,,,96.92017,34252_004_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 3,0.2,,,,20.0,20.066,Test_HPK_VPX34252_004_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_17_2020_02_58_04_PM.txt,Brown
34252,PSS,WW,2049082,26223,34252_004_PSS_HM_WW,,,,,94.76350000000001,34252_004_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.004,Test_HPK_VPX34252_004_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_14_2020_06_30_42_PM.txt,Brown
34252,PSS,WW,2049298,26223,34252_004_PSS_HM_WW,,,,,97.57487,34252_004_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 4,0.2,,,,20.0,20.063,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_17_2020_04_41_15_PM.txt,Brown
34252,PSS,EE,2046700,26236,34252_007_PSS_HM_EE,,,,,94.52185000000001,34252_007_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.028,Test_HPK_VPX34252_007_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_27_2020_06_42_29_PM.txt,Brown
34252,PSS,EE,2049895,26236,34252_007_PSS_HM_EE,,,,,94.93357,34252_007_PSS_HM_EE,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.101,Test_HPK_VPX34252_007_PSS_HM_EE_East_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_31_2020_04_10_17_PM.txt,Brown
34252,PSS,WW,2045761,26241,34252_007_PSS_HM_WW,,,,,97.21652,34252_007_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Left,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.132,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_31_2020_05_37_35_PM.txt,Brown
34252,PSS,WW,2046097,26241,34252_007_PSS_HM_WW,,,,,92.44149,34252_007_PSS_HM_WW,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 2,0.2,,,,20.0,20.068,Test_HPK_VPX34252_007_PSS_HM_WW_West_North_PQC4_ContactChain-Strip_CCStrip_IV_Run01_08_28_2020_03_19_51_PM.txt,Brown
