batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34331,2S,EE,Brown,Right,20.0,20.132,11587.76
34331,2S,WW,Brown,Right,20.0,20.068,11658.73
34331,2S,WW,Brown,Right,20.0,20.07,11661.69
34331,2S,EE,Brown,Left,20.0,21.935,11622.28
34331,2S,EE,Brown,Right,20.0,20.006,11754.39
34331,2S,WW,Brown,Right,20.0,20.072,11302.71
34331,2S,WW,Brown,Right,20.0,20.044,11302.18
34331,2S,EE,Brown,Right,20.0,20.102,11441.6
34331,2S,EE,Brown,Right,20.0,20.101,11522.41
34331,2S,WW,Brown,Right,20.0,20.039,11476.4
34331,2S,WW,Brown,Right,20.0,20.039,11503.17
34331,2S,EE,Brown,Right,20.0,20.003,11504.59
34331,2S,EE,Brown,Right,20.0,20.005,11549.15
34331,2S,WW,Brown,Right,20.0,20.018,11456.34
34331,2S,WW,Brown,Right,20.0,20.017,11375.33
34331,2S,EE,Brown,Right,20.0,20.077,11659.88
34331,2S,EE,Brown,Right,20.0,20.076,11730.44
34331,2S,WW,Brown,Right,20.0,20.026,11657.35
34331,2S,WW,Brown,Right,20.0,20.026,11522.73
34331,2S,EE,Brown,Right,20.0,19.996,11447.69
34331,2S,EE,Brown,Right,20.0,19.998,11570.91
34331,2S,WW,Brown,Right,20.0,20.005,11503.81
34331,2S,WW,Brown,Right,20.0,20.006,11513.66
34331,2S,EE,Brown,Right,20.0,19.998,11561.72
34331,2S,EE,Brown,Right,20.0,20.001,11605.95
34331,2S,WW,Brown,Right,20.0,19.862,11591.93
34331,2S,WW,Brown,Right,20.0,19.979,11487.12
34331,2S,EE,Brown,Right,20.0,20.003,12744.2
34331,2S,EE,Brown,Right,20.0,20.002,12815.92
34331,2S,WW,Brown,Right,20.0,20.0,12706.07
34331,2S,WW,Brown,Right,20.0,20.0,12782.3
34331,2S,EE,Brown,Right,20.0,20.004,12707.54
34331,2S,EE,Brown,Right,20.0,20.003,12657.21
34331,2S,WW,Brown,Right,20.0,20.0,12715.68
