batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,TOX_NM
35499,PSP,EE,HEPHY,Right,,,654.633
35499,PSP,WW,HEPHY,Left,,,653.865
35499,PSP,WW,HEPHY,Right,,,653.574
35496,PSP,EE,HEPHY,Right,,,661.063
35496,PSP,EE,HEPHY,Left,,,651.202
35496,PSP,WW,HEPHY,Right,,,655.068
35496,PSP,WW,HEPHY,Left,,,660.352
35496,PSP,EE,HEPHY,Left,,,652.674
35496,PSP,EE,HEPHY,Right,,,658.84
35496,PSP,WW,HEPHY,Left,,,658.734
35496,PSP,WW,HEPHY,Right,,,653.041
35496,PSP,EE,HEPHY,Left,,,649.717
35496,PSP,EE,HEPHY,Right,,,658.804
35496,PSP,WW,HEPHY,Right,,,658.09
35496,PSP,WW,HEPHY,Left,,,659.419
35496,PSP,EE,HEPHY,Left,,,650.29
35496,PSP,EE,HEPHY,Right,,,657.435
35496,PSP,WW,HEPHY,Left,,,661.146
35496,PSP,WW,HEPHY,Right,,,654.094
35496,PSP,EE,HEPHY,Right,,,655.611
35496,PSP,EE,HEPHY,Left,,,649.471
35496,PSP,WW,HEPHY,Right,,,653.416
35496,PSP,WW,HEPHY,Left,,,657.66
35496,PSP,EE,HEPHY,Right,,,651.853
35496,PSP,EE,HEPHY,Left,,,650.849
35496,PSP,WW,HEPHY,Right,,,649.083
35496,PSP,WW,HEPHY,Left,,,651.147
35496,PSP,EE,HEPHY,Right,,,651.506
35496,PSP,EE,HEPHY,Left,,,647.606
35496,PSP,WW,HEPHY,Left,,,648.867
35496,PSP,WW,HEPHY,Right,,,648.95
35496,PSP,EE,HEPHY,Left,,,652.211
35496,PSP,EE,HEPHY,Right,,,651.775
35496,PSP,WW,HEPHY,Right,,,644.987
35496,PSP,WW,HEPHY,Left,,,647.421
35499,PSP,EE,HEPHY,Left,,,650.123
35499,PSP,EE,HEPHY,Right,,,654.234
35499,PSP,WW,HEPHY,Left,,,653.378
35499,PSP,WW,HEPHY,Right,,,651.326
35499,PSP,EE,HEPHY,Right,,,652.391
35499,PSP,EE,HEPHY,Left,,,652.389
35499,PSP,WW,HEPHY,Left,,,647.053
35499,PSP,WW,HEPHY,Right,,,648.719
35499,PSP,EE,HEPHY,Right,,,652.691
35499,PSP,EE,HEPHY,Left,,,646.526
35499,PSP,WW,HEPHY,Right,,,650.234
35499,PSP,WW,HEPHY,Left,,,648.542
35499,PSP,EE,HEPHY,Left,,,648.484
35499,PSP,EE,HEPHY,Right,,,650.957
35499,PSP,WW,HEPHY,Right,,,649.924
35499,PSP,WW,HEPHY,Left,,,649.359
35499,PSP,EE,HEPHY,Right,,,653.362
35499,PSP,EE,HEPHY,Left,,,652.289
35499,PSP,WW,HEPHY,Left,,,648.098
35499,PSP,WW,HEPHY,Right,,,650.679
35499,PSP,EE,HEPHY,Left,,,648.553
35499,PSP,EE,HEPHY,Right,,,654.183
35499,PSP,WW,HEPHY,Right,,,651.073
35499,PSP,WW,HEPHY,Left,,,652.962
36696,PSS,EE,Brown,Right,20.0,20.012,676.467
36696,PSS,EE,Brown,Right,20.0,20.012,676.467
36696,PSS,WW,Brown,Right,20.0,20.005,664.32
36696,PSS,WW,Brown,Right,20.0,20.005,664.32
36696,PSS,EE,Brown,Right,20.0,20.015,674.024
36696,PSS,EE,Brown,Right,20.0,20.015,674.024
36696,PSS,WW,Brown,Right,20.0,20.03,669.043
36696,PSS,WW,Brown,Right,20.0,20.03,669.043
36696,PSS,EE,Brown,Right,20.0,20.012,677.084
36696,PSS,EE,Brown,Right,20.0,20.012,677.084
36696,PSS,WW,Brown,Right,20.0,20.008,670.147
36696,PSS,WW,Brown,Right,20.0,20.008,670.147
36696,PSS,EE,Brown,Right,20.0,20.092,678.955
36696,PSS,EE,Brown,Right,20.0,20.092,678.955
36696,PSS,EE,Brown,Right,20.0,20.002,675.991
36696,PSS,EE,Brown,Right,20.0,20.002,675.991
36696,PSS,WW,Brown,Right,20.0,20.004,669.556
36696,PSS,WW,Brown,Right,20.0,20.004,669.556
36696,PSS,EE,Brown,Right,20.0,20.003,668.154
36696,PSS,EE,Brown,Right,20.0,20.003,668.154
36696,PSS,WW,Brown,Right,20.0,20.005,665.14
36696,PSS,WW,Brown,Right,20.0,20.005,665.14
36696,PSS,EE,Brown,Right,20.0,20.159,670.813
36696,PSS,EE,Brown,Right,20.0,20.159,670.813
36696,PSS,WW,Brown,Right,20.0,20.021,670.292
36696,PSS,WW,Brown,Right,20.0,20.021,670.292
36696,PSS,EE,Brown,Right,20.0,20.028,671.17
36696,PSS,EE,Brown,Right,20.0,20.028,671.17
36696,PSS,WW,Brown,Right,20.0,20.025,662.185
36696,PSS,WW,Brown,Right,20.0,20.025,662.185
36696,PSS,EE,Brown,Right,20.0,20.062,667.533
36696,PSS,EE,Brown,Right,20.0,20.062,667.533
36696,PSS,WW,Brown,Right,20.0,20.012,661.128
36696,PSS,WW,Brown,Right,20.0,20.012,661.128
36697,PSS,EE,Brown,Right,20.0,20.004,667.995
36697,PSS,EE,Brown,Right,20.0,20.004,667.995
36697,PSS,EE,Brown,Right,20.0,20.004,667.995
36697,PSS,WW,Brown,Right,20.0,20.002,662.612
36697,PSS,WW,Brown,Right,20.0,20.002,662.612
36697,PSS,WW,Brown,Right,20.0,20.002,662.612
36697,PSS,EE,Brown,Right,20.0,20.003,664.484
36697,PSS,EE,Brown,Right,20.0,20.003,664.484
36697,PSS,WW,Brown,Right,20.0,20.006,664.637
36697,PSS,WW,Brown,Right,20.0,20.006,664.637
36697,PSS,WW,Brown,Right,20.0,20.006,664.637
36697,PSS,EE,Brown,Right,20.0,20.004,665.664
36697,PSS,EE,Brown,Right,20.0,20.004,665.664
36697,PSS,EE,Brown,Right,20.0,20.004,665.664
36697,PSS,WW,Brown,Right,20.0,20.003,662.766
36697,PSS,WW,Brown,Right,20.0,20.003,662.766
36697,PSS,WW,Brown,Right,20.0,20.003,662.766
36697,PSS,EE,Brown,Right,20.0,20.033,672.675
36697,PSS,EE,Brown,Right,20.0,20.033,672.675
36697,PSS,EE,Brown,Right,20.0,20.033,672.675
36697,PSS,WW,Brown,Right,20.0,20.004,663.584
36697,PSS,WW,Brown,Right,20.0,20.004,663.584
36697,PSS,WW,Brown,Right,20.0,20.004,663.584
36697,PSS,EE,Brown,Right,20.0,20.02,670.716
36697,PSS,EE,Brown,Right,20.0,20.02,670.716
36697,PSS,EE,Brown,Right,20.0,20.02,670.716
36697,PSS,EE,Brown,Right,20.0,20.01,661.896
36697,PSS,EE,Brown,Right,20.0,20.01,661.896
36697,PSS,EE,Brown,Right,20.0,20.01,661.896
36697,PSS,WW,Brown,Right,20.0,20.003,658.075
36697,PSS,WW,Brown,Right,20.0,20.003,658.075
36697,PSS,WW,Brown,Right,20.0,20.003,658.075
36697,PSS,EE,Brown,Right,20.0,20.01,663.289
36697,PSS,EE,Brown,Right,20.0,20.01,663.289
36697,PSS,EE,Brown,Right,20.0,20.01,663.289
36697,PSS,EE,Brown,Right,20.0,20.01,658.862
36697,PSS,EE,Brown,Right,20.0,20.01,658.862
36697,PSS,EE,Brown,Right,20.0,20.01,658.862
36697,PSS,WW,Brown,Right,20.0,20.005,657.765
36697,PSS,WW,Brown,Right,20.0,20.005,657.765
36697,PSS,WW,Brown,Right,20.0,20.005,657.765
36697,PSS,EE,Brown,Right,20.0,20.049,660.495
36697,PSS,EE,Brown,Right,20.0,20.049,660.495
36697,PSS,EE,Brown,Right,20.0,20.049,660.495
36697,PSS,WW,Brown,Right,20.0,20.04,654.808
36697,PSS,WW,Brown,Right,20.0,20.04,654.808
36697,PSS,WW,Brown,Right,20.0,20.04,654.808
36700,2S,EE,HEPHY,Left,,,662.747
36700,2S,WW,HEPHY,Left,,,678.328
36700,2S,EE,HEPHY,Left,,,666.607
36700,2S,EE,HEPHY,Left,,,666.607
36700,2S,EE,HEPHY,Left,,,666.607
36700,2S,WW,HEPHY,Left,,,681.092
36700,2S,EE,HEPHY,Left,,,662.631
36700,2S,WW,HEPHY,Left,,,677.376
36700,2S,EE,HEPHY,Left,,,663.225
36700,2S,WW,HEPHY,Left,,,674.487
36700,2S,EE,HEPHY,Left,,,662.719
36700,2S,WW,HEPHY,Left,,,671.64
36700,2S,EE,HEPHY,Left,,,663.01
36700,2S,WW,HEPHY,Left,,,668.395
36700,2S,EE,HEPHY,Left,,,662.134
36700,2S,WW,HEPHY,Left,,,669.441
36700,2S,EE,HEPHY,Left,,,660.358
36700,2S,WW,HEPHY,Left,,,761.289
36700,2S,EE,HEPHY,Left,,,656.48
36700,2S,WW,HEPHY,Left,,,669.051
36700,2S,EE,HEPHY,Left,,,662.459
36700,2S,WW,HEPHY,Left,,,669.157
36701,2S,EE,HEPHY,Left,,,674.224
36701,2S,WW,HEPHY,Left,,,688.235
36701,2S,EE,HEPHY,Left,,,681.68
36701,2S,WW,HEPHY,Left,,,690.436
36701,2S,EE,HEPHY,Left,,,674.686
36701,2S,WW,HEPHY,Left,,,689.348
36701,2S,EE,HEPHY,Left,,,676.145
36701,2S,WW,HEPHY,Left,,,684.572
36701,2S,EE,HEPHY,Left,,,674.745
36701,2S,WW,HEPHY,Left,,,686.269
36701,2S,EE,HEPHY,Left,,,677.495
36701,2S,WW,HEPHY,Left,,,686.154
36701,2S,EE,HEPHY,Left,,,672.316
36701,2S,WW,HEPHY,Left,,,683.51
36701,2S,EE,HEPHY,Left,,,672.526
36701,2S,WW,HEPHY,Left,,,676.979
36701,2S,EE,HEPHY,Left,,,669.558
36701,2S,WW,HEPHY,Left,,,678.114
36701,2S,EE,HEPHY,Left,,,665.174
36701,2S,WW,HEPHY,Left,,,678.031
36246,2S,EE,Brown,Right,20.0,20.397,662.96
36246,2S,WW,Brown,Right,20.0,20.406,657.003
36246,2S,EE,Brown,Right,20.0,20.329,664.695
36246,2S,WW,Brown,Right,20.0,20.44,657.728
36246,2S,EE,Brown,Right,20.0,20.456,664.149
36246,2S,WW,Brown,Right,20.0,20.116,656.946
36246,2S,EE,Brown,Right,20.0,20.597,663.847
36246,2S,WW,Brown,Right,20.0,20.647,657.48
36246,2S,EE,Brown,Right,20.0,20.018,662.054
36246,2S,WW,Brown,Right,20.0,20.014,657.439
36246,2S,EE,Brown,Right,20.0,20.038,660.559
36246,2S,WW,Brown,Right,20.0,20.056,655.742
36246,2S,EE,Brown,Right,20.0,20.083,658.995
36246,2S,WW,Brown,Right,20.0,20.114,654.046
36246,2S,EE,Brown,Right,20.0,20.1,659.577
36246,2S,WW,Brown,Right,20.0,20.077,654.693
36246,2S,EE,Brown,Right,20.0,20.047,658.651
36246,2S,WW,Brown,Right,20.0,20.05,651.63
