batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
35718,2S,EE,Brown,Right,20.0,20.042,85.966
35718,2S,WW,Brown,Right,20.0,20.034,86.385
35718,2S,EE,Brown,Right,20.0,20.058,86.24
35718,2S,WW,Brown,Right,20.0,20.068,86.958
35718,2S,EE,Brown,Right,20.0,20.027,86.276
35718,2S,WW,Brown,Right,20.0,20.058,86.897
35718,2S,EE,Brown,Right,20.0,20.101,86.375
35718,2S,WW,Brown,Right,20.0,20.105,87.004
35718,2S,EE,Brown,Right,20.0,20.093,86.312
35718,2S,WW,Brown,Right,20.0,20.094,87.119
35953,2S,WW,HEPHY,Right,,,85.431
35953,2S,WW,HEPHY,Left,,,84.531
35953,2S,EE,HEPHY,Right,,,84.716
35953,2S,EE,HEPHY,Left,,,85.788
35953,2S,WW,HEPHY,Left,,,84.733
35953,2S,WW,HEPHY,Right,,,85.565
35953,2S,WW,HEPHY,Right,,,85.505
35953,2S,WW,HEPHY,Left,,,83.985
35953,2S,WW,HEPHY,Right,,,85.751
35953,2S,WW,HEPHY,Left,,,84.999
35953,2S,EE,HEPHY,Left,,,86.166
35953,2S,EE,HEPHY,Right,,,85.146
35953,2S,WW,HEPHY,Right,,,85.397
35953,2S,WW,HEPHY,Left,,,84.815
35952,2S,EE,Brown,Right,20.0,20.059,85.038
35952,2S,WW,Brown,Right,20.0,20.068,86.289
35952,2S,EE,Brown,Right,20.0,20.066,85.17
35952,2S,WW,Brown,Right,20.0,20.065,86.152
35952,2S,EE,Brown,Right,20.0,20.004,85.721
35952,2S,WW,Brown,Right,20.0,20.013,86.216
35952,2S,EE,Brown,Right,20.0,20.007,86.226
35952,2S,WW,Brown,Right,20.0,20.033,86.393
35952,2S,EE,Brown,Right,20.0,20.056,86.19
35952,2S,WW,Brown,Right,20.0,20.069,86.564
35952,2S,EE,Brown,Right,20.0,20.069,86.28
35952,2S,WW,Brown,Right,20.0,20.064,86.954
35952,2S,EE,Brown,Right,20.0,20.018,86.963
35952,2S,WW,Brown,Right,20.0,20.007,87.038
35952,2S,EE,Brown,Right,20.0,20.035,86.235
35952,2S,WW,Brown,Right,20.0,20.043,86.997
35953,2S,EE,HEPHY,Left,,,86.306
35953,2S,EE,HEPHY,Right,,,85.151
35953,2S,WW,HEPHY,Left,,,84.929
35953,2S,WW,HEPHY,Right,,,85.851
35953,2S,EE,HEPHY,Right,,,85.444
35953,2S,EE,HEPHY,Left,,,86.099
35953,2S,WW,HEPHY,Left,,,85.534
35953,2S,WW,HEPHY,Right,,,85.765
35953,2S,EE,HEPHY,Left,,,86.345
35953,2S,EE,HEPHY,Right,,,85.591
35953,2S,WW,HEPHY,Left,,,85.499
35953,2S,WW,HEPHY,Right,,,85.787
35953,2S,EE,HEPHY,Left,,,86.239
35953,2S,EE,HEPHY,Right,,,85.471
35953,2S,WW,HEPHY,Right,,,86.309
35953,2S,WW,HEPHY,Left,,,85.75
35957,2S,EE,HEPHY,Left,,,85.67
35957,2S,EE,HEPHY,Right,,,84.607
35957,2S,WW,HEPHY,Left,,,84.477
35957,2S,WW,HEPHY,Right,,,85.469
35957,2S,EE,HEPHY,Right,,,84.788
35957,2S,EE,HEPHY,Left,,,85.627
35957,2S,WW,HEPHY,Right,,,85.268
35957,2S,WW,HEPHY,Left,,,84.666
35957,2S,EE,HEPHY,Right,,,84.455
35957,2S,EE,HEPHY,Left,,,85.891
35957,2S,WW,HEPHY,Left,,,85.037
35957,2S,WW,HEPHY,Right,,,85.555
35957,2S,EE,HEPHY,Left,,,86.005
35957,2S,EE,HEPHY,Right,,,84.726
35957,2S,WW,HEPHY,Left,,,84.732
35957,2S,WW,HEPHY,Right,,,85.75
35957,2S,EE,HEPHY,Left,,,85.715
35957,2S,EE,HEPHY,Right,,,85.368
35957,2S,WW,HEPHY,Right,,,85.742
35957,2S,WW,HEPHY,Left,,,84.729
35957,2S,EE,HEPHY,Right,,,85.045
35957,2S,EE,HEPHY,Left,,,86.001
35957,2S,WW,HEPHY,Left,,,65.159
35957,2S,EE,HEPHY,Right,,,85.419
35957,2S,EE,HEPHY,Left,,,86.0
35957,2S,WW,HEPHY,Right,,,86.196
35957,2S,WW,HEPHY,Left,,,84.916
35957,2S,EE,HEPHY,Right,,,85.716
35957,2S,EE,HEPHY,Left,,,86.186
35957,2S,WW,HEPHY,Left,,,85.56
35957,2S,WW,HEPHY,Right,,,85.769
35958,2S,EE,HEPHY,Right,,,84.041
35958,2S,EE,HEPHY,Left,,,85.471
35958,2S,WW,HEPHY,Right,,,85.046
35958,2S,WW,HEPHY,Left,,,84.071
35958,2S,EE,HEPHY,Right,,,84.361
35958,2S,EE,HEPHY,Left,,,85.526
35958,2S,WW,HEPHY,Right,,,85.34
35958,2S,WW,HEPHY,Left,,,84.436
35958,2S,EE,HEPHY,Left,,,84.683
35958,2S,EE,HEPHY,Right,,,84.606
35958,2S,WW,HEPHY,Right,,,85.327
35958,2S,WW,HEPHY,Left,,,84.931
35958,2S,EE,HEPHY,Left,,,86.052
35958,2S,EE,HEPHY,Right,,,85.247
35958,2S,WW,HEPHY,Right,,,85.643
35958,2S,WW,HEPHY,Left,,,85.156
35958,2S,EE,HEPHY,Right,,,85.187
35958,2S,EE,HEPHY,Left,,,85.923
