batch_number,Type,Average,std
38880,2S,119390850000.0,2389220120.248446
38881,2S,60170000000.0,282842712.47461903
38882,2S,41412142857.14286,4839609295.373763
38883,2S,63239285714.28571,2530911858.434591
38884,2S,57371428571.42857,3868034398.7470064
38885,2S,109460493750.0,1837120698.7997103
38920,PSS,74068970085.42032,2221165320.4888377
38921,PSS,70793639830.53957,5586832681.835464
38922,PSS,73717224340.32494,2145677670.4690819
39478,PSS,69247768568.74576,3195516160.8450603
39479,PSS,64271428571.42857,1735178364.3314464
39480,2S,90386161875.0,3356647341.290052
39481,2S,112229368750.0,2505456584.262638
39482,2S,103482361875.0,2457780629.2513
39483,2S,111823124117.64706,8536719765.87836
39484,2S,58172142857.14286,3765454673.887192
39485,2S,77298097609.332,3051932141.5050244
39486,2S,114565300000.0,1935593760.064339
39487,2S,62107142857.14286,1947429977.2991877
39488,2S,77854481682.69034,3048143744.024666
39547,PSS,58999285714.28571,5403244700.79815
39548,PSS,115925530000.0,6795677908.254396
39562,PSS,106812105000.0,4024341099.579296
39563,PSS,75285310625.0,1630118320.337388
39564,2S,82122225833.33333,2222289611.7557282
39565,2S,85548718333.33333,2604280461.5158734
39566,2S,77830044375.0,2987034094.8259897
39567,2S,83771028750.0,2329950794.0551734
39568,2S,69371163950.16115,3017092195.070822
39569,2S,78225298000.0,2854342987.767549
39570,2S,84786370000.0,1723379962.3027635
39571,2S,78374707500.0,2915617506.982257
39572,2S,79512195000.0,2591897899.0751157
41352,2S,85356422500.0,1667703128.8721626
41353,2S,68172094954.131996,1956652882.6237812
41354,2S,75516053333.33333,1768660488.769208
41355,2S,76241799345.71124,2476403091.0438924
41356,2S,57163571428.57143,5582674582.537074
41357,2S,59647142857.14286,1950851603.2804694
41727,PSS,74991805000.0,2850056198.8751464
41728,PSS,48870904294.20487,3670979869.5364866
41729,PSS,75642350000.0,2240179026.6613345
41730,2S,44123571428.57143,5374003817.729108
41731,2S,54225000000.0,4028386084.3325887
41732,2S,62627142857.14286,1606867131.4150336
41733,2S,89268436250.0,7502034745.621908
41734,2S,116364518750.0,1896574066.4748628
41735,2S,88151150000.0,2881244171.883621
41736,2S,71684942802.24,2572192639.3859687
41737,2S,70859003358.149,2266946157.5575233
41738,2S,77205698396.31676,2532613327.062225
41739,2S,48820878638.434,2592977718.2726064
41740,2S,54378000000.0,3810420799.159414
41741,2S,61047857142.85714,2199570512.522942
41742,2S,75250018227.37465,5302797264.67065
41743,2S,66064313465.02067,2108831366.5796566
41744,2S,107443993750.0,1788876696.1303754
41745,2S,114104737500.0,1756609023.4217362
41746,2S,66119185624.51342,1334754078.028789
41747,2S,112767687500.0,1924058045.1656504
41748,2S,55475000000.0,3030632708.7564764
41749,2S,59223000000.0,5346498438.749941
41750,2S,41710000000.0,4774487756.119324
41751,2S,76494414166.66667,1233532368.1234834
41752,2S,82098436250.0,2038773208.2173824
41753,2S,73770790000.0,1775928430.423554
41754,2S,84718750833.33333,2867730010.064844
41755,2S,81042517500.0,2595731874.161893
41756,2S,64199285714.28571,3035967630.023326
41757,2S,55646428571.42857,2343887655.2982097
41758,2S,39651428571.42857,2645486307.3162565
41759,2S,115041862500.0,2064288226.2820423
42240,PSS,61531872500.0,2348510387.2951746
42241,PSS,100941407000.0,2495051854.6053257
42242,2S,109885668750.0,1732876856.8361497
42243,2S,112896100000.0,1546659122.5698612
42244,2S,107461837500.0,1985164807.8937936
42245,2S,69898713141.08372,3226449061.7163267
42246,2S,72093519342.68771,1819207122.13726
42247,2S,79832708750.0,1538301745.1500404
42248,2S,68368238510.29269,1789977799.1812222
42249,2S,79000398750.0,1510434234.9884026
42250,2S,73353379282.04362,1599194974.4715497
42251,2S,74272590625.0,2173797286.6621175
42252,2S,107262712500.0,1967037432.9178386
42253,2S,64743000000.0,5884033102.860277
42254,2S,59599000000.0,3059500503.8949304
42255,2S,55047000000.0,3019418818.249631
42256,2S,81608233125.0,1616044954.4931903
42257,2S,83356945714.28572,15267188227.089025
42258,PSP,119669982027.00323,14992584065.175241
42259,PSP,130228164152.57014,24019444611.836685
42648,PSS,96203118000.0,1234920005.2319603
42649,PSS,72530289719.43568,2184860205.597819
42650,2S,120438235714.28572,25550105261.309807
42651,2S,65912000176.66719,1911202202.0737927
42652,2S,66980715497.793625,2102207938.976987
42653,2S,113485975000.0,1668472804.493178
42654,2S,112392623076.92308,14554237223.92405
42655,2S,114019662500.0,3695782177.721878
42656,2S,109866131250.0,3760981763.7985163
42657,2S,62027857142.85714,2470515918.001522
42658,2S,53637142857.14286,5957942893.019663
42659,2S,57648571428.57143,3501392815.488095
42660,PSP,114272257958.88333,25724564066.931057
42899,PSS,65227923877.0685,2245495734.064551
42900,PSS,96513475000.0,1777722372.8174736
42901,2S,60629285714.28571,2619651956.582475
42902,2S,81930373125.0,7166852732.065607
