batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
35957,2S,EE,686801,58630,35957_001_2-S_HM_EE,-2.926,84.607,114763500000.0,678.861,35957_001_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_001_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T17-05-29.json,HEPHY
35957,2S,WW,684821,58633,35957_001_2-S_HM_WW,-2.914,84.477,114215000000.0,679.903,35957_001_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_001_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T16-43-50.json,HEPHY
35957,2S,WW,688161,58633,35957_001_2-S_HM_WW,-2.94,85.469,116390000000.0,672.012,35957_001_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_001_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T15-35-27.json,HEPHY
35957,2S,EE,685881,58652,35957_005_2-S_HM_EE,-2.899,84.788,114160400000.0,677.412,35957_005_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35957_005_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T20-10-46.json,HEPHY
35957,2S,EE,690081,58652,35957_005_2-S_HM_EE,-2.884,85.627,114787100000.0,670.775,35957_005_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35957_005_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T21-23-38.json,HEPHY
35957,2S,WW,682921,58655,35957_005_2-S_HM_WW,-2.935,85.268,115930700000.0,673.6,35957_005_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35957_005_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T18-38-44.json,HEPHY
35957,2S,WW,695341,58655,35957_005_2-S_HM_WW,-2.898,84.666,113951600000.0,678.391,35957_005_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35957_005_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T19-48-32.json,HEPHY
35957,2S,EE,684281,58692,35957_011_2-S_HM_EE,-2.875,84.455,112950500000.0,680.085,35957_011_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_011_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T12-24-48.json,HEPHY
35957,2S,EE,689601,58692,35957_011_2-S_HM_EE,-2.864,85.891,114503100000.0,668.716,35957_011_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_011_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T13-30-48.json,HEPHY
35957,2S,WW,680801,58695,35957_011_2-S_HM_WW,-2.883,85.037,113974800000.0,675.425,35957_011_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_011_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T11-18-16.json,HEPHY
35957,2S,WW,685761,58695,35957_011_2-S_HM_WW,-2.927,85.555,116076800000.0,671.336,35957_011_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_011_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T10-15-36.json,HEPHY
35957,2S,EE,681701,58750,35957_019_2-S_HM_EE,-2.908,86.005,116080800000.0,667.824,35957_019_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35957_019_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T22-56-05.json,HEPHY
35957,2S,EE,682301,58750,35957_019_2-S_HM_EE,-2.937,84.726,115273100000.0,677.905,35957_019_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35957_019_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T21-49-33.json,HEPHY
35957,2S,WW,679281,58753,35957_019_2-S_HM_WW,-2.949,84.732,115659400000.0,677.862,35957_019_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35957_019_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T20-40-25.json,HEPHY
35957,2S,WW,693541,58753,35957_019_2-S_HM_WW,-2.959,85.75,117357000000.0,669.816,35957_019_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35957_019_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T14-36-55.json,HEPHY
35957,2S,EE,686221,58794,35957_028_2-S_HM_EE,-2.799,85.715,112180700000.0,670.089,35957_028_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_028_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T12-40-18.json,HEPHY
35957,2S,EE,694121,58794,35957_028_2-S_HM_EE,-2.809,85.368,112047500000.0,672.812,35957_028_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_028_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T11-46-20.json,HEPHY
35957,2S,WW,679761,58797,35957_028_2-S_HM_WW,-2.868,85.742,114418600000.0,669.875,35957_028_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_028_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T11-21-58.json,HEPHY
35957,2S,WW,691361,58797,35957_028_2-S_HM_WW,-2.813,84.729,111332000000.0,677.883,35957_028_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_028_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T10-56-40.json,HEPHY
35957,2S,EE,690281,58852,35957_035_2-S_HM_EE,-2.821,85.045,112006500000.0,675.366,35957_035_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35957_035_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T13-24-25.json,HEPHY
35957,2S,EE,693761,58852,35957_035_2-S_HM_EE,-2.815,86.001,113069300000.0,667.854,35957_035_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35957_035_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-03T14-05-33.json,HEPHY
35957,2S,WW,677081,58855,35957_035_2-S_HM_WW,-6.05,65.159,164733200000.0,881.48,35957_035_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35957_035_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-30T13-16-45.json,HEPHY
35957,2S,EE,681321,58878,35957_042_2-S_HM_EE,-2.882,85.419,114441400000.0,672.405,35957_042_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_042_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T18-26-54.json,HEPHY
35957,2S,EE,695941,58878,35957_042_2-S_HM_EE,-2.865,86.0,114671100000.0,667.864,35957_042_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_042_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T19-33-25.json,HEPHY
35957,2S,WW,688461,58891,35957_042_2-S_HM_WW,-2.923,86.196,116815300000.0,666.35,35957_042_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_042_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T16-14-47.json,HEPHY
35957,2S,WW,695141,58891,35957_042_2-S_HM_WW,-2.89,84.916,114045600000.0,676.391,35957_042_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_042_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-27T17-20-13.json,HEPHY
35957,2S,EE,683781,58910,35957_045_2-S_HM_EE,-2.87,85.716,114453400000.0,670.079,35957_045_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_045_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-28T09-28-28.json,HEPHY
35957,2S,EE,691441,58910,35957_045_2-S_HM_EE,-2.864,86.186,114912800000.0,666.424,35957_045_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35957_045_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-28T10-34-31.json,HEPHY
35957,2S,WW,678481,58913,35957_045_2-S_HM_WW,-2.878,85.56,114504700000.0,671.302,35957_045_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_045_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-28T08-22-30.json,HEPHY
35957,2S,WW,692121,58913,35957_045_2-S_HM_WW,-2.929,85.769,116435700000.0,669.665,35957_045_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35957_045_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-28T07-18-45.json,HEPHY
35958,2S,EE,509541,58950,35958_001_2-S_HM_EE,-2.705,84.041,107035000000.0,683.435,35958_001_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35958_001_2-S_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-18T16-35-38.json,HEPHY
35958,2S,EE,518081,58950,35958_001_2-S_HM_EE,-2.694,85.471,108509900000.0,671.999,35958_001_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35958_001_2-S_HM_EL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-18T17-44-35.json,HEPHY
35958,2S,WW,515821,58953,35958_001_2-S_HM_WW,-2.761,85.046,110091800000.0,675.356,35958_001_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35958_001_2-S_HM_WR__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-18T14-22-50.json,HEPHY
35958,2S,WW,520261,58953,35958_001_2-S_HM_WW,-2.703,84.071,106988900000.0,683.187,35958_001_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35958_001_2-S_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-05-18T15-28-44.json,HEPHY
