batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,NOX
35952,2S,EE,Brown,Right,20.0,20.018,79593320000.0
35952,2S,WW,Brown,Right,20.0,20.007,83909280000.0
35952,2S,EE,Brown,Right,20.0,20.035,80919110000.0
35952,2S,WW,Brown,Right,20.0,20.043,83795450000.0
35953,2S,EE,HEPHY,Left,,,119847000000.0
35953,2S,EE,HEPHY,Right,,,119547000000.0
35953,2S,WW,HEPHY,Left,,,116333300000.0
35953,2S,WW,HEPHY,Right,,,120645800000.0
35953,2S,EE,HEPHY,Right,,,114815000000.0
35953,2S,EE,HEPHY,Left,,,112582700000.0
35953,2S,WW,HEPHY,Left,,,114784600000.0
35953,2S,WW,HEPHY,Right,,,114826300000.0
35953,2S,EE,HEPHY,Left,,,113914000000.0
35953,2S,EE,HEPHY,Right,,,114650700000.0
35953,2S,WW,HEPHY,Left,,,114305400000.0
35953,2S,WW,HEPHY,Right,,,114985100000.0
35953,2S,EE,HEPHY,Left,,,115078300000.0
35953,2S,EE,HEPHY,Right,,,116654000000.0
35953,2S,WW,HEPHY,Right,,,117211600000.0
35953,2S,WW,HEPHY,Left,,,117817300000.0
35714,PSS,EE,Perugia,Left,20.0,20.0,60848110340.861
35714,PSS,WW,Perugia,Left,20.0,20.0,62614310900.21
35714,PSS,EE,Perugia,Left,20.0,20.0,59529681327.221
35714,PSS,WW,Perugia,Left,20.0,20.0,62478337111.061
35714,PSS,EE,Perugia,Left,20.0,20.0,57523103286.927
35714,PSS,WW,Perugia,Left,20.0,20.0,61055739456.741
35714,PSS,EE,Perugia,Left,20.0,20.0,61325797743.506
35714,PSS,WW,Perugia,Left,20.0,20.0,63106016636.407
35714,PSS,EE,Perugia,Left,20.0,20.0,56518200185.589
35714,PSS,WW,Perugia,Left,20.0,20.0,60466017937.286
35714,PSS,EE,Perugia,Left,20.0,20.0,56247173456.111
35714,PSS,WW,Perugia,Left,20.0,20.0,60606531834.306
35714,PSS,EE,Perugia,Left,20.0,20.0,56709524142.835
35714,PSS,WW,Perugia,Left,20.0,20.0,60742514558.562
35714,PSS,EE,Perugia,Left,20.0,20.0,59942156313.982
35714,PSS,WW,Perugia,Left,20.0,20.0,62335385459.9
35714,PSS,EE,Perugia,Left,20.0,20.0,58131491440.639
35714,PSS,WW,Perugia,Left,20.0,20.0,62597474473.986
35957,2S,EE,HEPHY,Left,,,114804900000.0
35957,2S,EE,HEPHY,Right,,,114763500000.0
35957,2S,WW,HEPHY,Left,,,114215000000.0
35957,2S,WW,HEPHY,Right,,,116390000000.0
35957,2S,EE,HEPHY,Right,,,114160400000.0
35957,2S,EE,HEPHY,Left,,,114787100000.0
35957,2S,WW,HEPHY,Right,,,115930700000.0
35957,2S,WW,HEPHY,Left,,,113951600000.0
35957,2S,EE,HEPHY,Right,,,112950500000.0
35957,2S,EE,HEPHY,Left,,,114503100000.0
